Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:2	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
1:3	2846	mimejpg			rc://*/tw/dict/images/p/Prostrate Figures
1:4	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
1:9	2631	mimejpg			rc://*/tw/dict/images/c/Chair
1:9	2685	mimejpg			rc://*/tw/dict/images/a/Ashurnasirpal Ii Throne
1:9	2802	mimejpg			rc://*/tw/dict/images/d/Darius
1:9	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
1:9	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
1:9	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
1:9	3212	mimejpg			rc://*/tw/dict/images/c/Chair
1:9	3213	mimejpg			rc://*/tw/dict/images/c/Chair
1:11	2580	mimejpg			rc://*/tw/dict/images/r/Razor
1:11	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
1:19	2846	mimejpg			rc://*/tw/dict/images/p/Prostrate Figures
1:20	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
1:20	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
1:20	2939	mimejpg			rc://*/tw/dict/images/b/Birth
1:22	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
1:24	2349	mimejpg			rc://*/tw/dict/images/c/Cows
1:24	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
1:24	2814	mimejpg			rc://*/tw/dict/images/w/Wheat Flour
1:24	3219	mimejpg			rc://*/tw/dict/images/w/Waterskin
1:25	2349	mimejpg			rc://*/tw/dict/images/c/Cows
1:25	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
1:27	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
1:28	2846	mimejpg			rc://*/tw/dict/images/p/Prostrate Figures
2:1	2637	mimejpg			rc://*/tw/dict/images/h/Horn Ram
2:1	2977	mimejpg			rc://*/tw/dict/images/h/Horned Ram
2:4	2594	mimejpg			rc://*/tw/dict/images/c/Chariot
2:5	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
2:5	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
2:5	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
2:5	2939	mimejpg			rc://*/tw/dict/images/b/Birth
2:8	2631	mimejpg			rc://*/tw/dict/images/c/Chair
2:8	2685	mimejpg			rc://*/tw/dict/images/a/Ashurnasirpal Ii Throne
2:8	2802	mimejpg			rc://*/tw/dict/images/d/Darius
2:8	2833	mimejpg			rc://*/tw/dict/images/m/Manure Heap
2:8	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
2:8	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
2:8	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
2:8	3212	mimejpg			rc://*/tw/dict/images/c/Chair
2:8	3213	mimejpg			rc://*/tw/dict/images/c/Chair
2:10	2637	mimejpg			rc://*/tw/dict/images/h/Horn Ram
2:10	2977	mimejpg			rc://*/tw/dict/images/h/Horned Ram
2:11	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
2:13	2623	mimejpg			rc://*/tw/dict/images/f/Fork
