Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:7	2831	mimejpg			rc://*/tw/dict/images/p/Pelister Lake Macedonia
1:7	2900	mimejpg			rc://*/tw/dict/images/m/Macedonia
1:8	2831	mimejpg			rc://*/tw/dict/images/p/Pelister Lake Macedonia
1:8	2900	mimejpg			rc://*/tw/dict/images/m/Macedonia
1:9	3200	mimejpg			rc://*/tw/dict/images/c/Clay Goddess Idols
1:9	3201	mimejpg			rc://*/tw/dict/images/t/Teraphim With Mold
2:7	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
2:11	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
2:19	2686	mimejpg			rc://*/tw/dict/images/c/Crown
2:19	3227	mimejpg			rc://*/tw/dict/images/g/Garland
3:1	2772	mimejpg			rc://*/tw/dict/images/s/Silver Coin Athens Owl
3:1	2781	mimejpg			rc://*/tw/dict/images/a/Athens Night
3:1	2782	mimejpg			rc://*/tw/dict/images/a/Acropolis Hill
3:1	2838	mimejpg			rc://*/tw/dict/images/a/Acropolis Athens
3:1	2911	mimejpg			rc://*/tw/dict/images/a/Athens Night
4:10	2831	mimejpg			rc://*/tw/dict/images/p/Pelister Lake Macedonia
4:10	2900	mimejpg			rc://*/tw/dict/images/m/Macedonia
4:16	2637	mimejpg			rc://*/tw/dict/images/h/Horn Ram
4:16	3166	mimejpg			rc://*/tw/dict/images/h/Horn Ram
