Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:3	2831	mimejpg			rc://*/tw/dict/images/p/Pelister Lake Macedonia
1:3	2900	mimejpg			rc://*/tw/dict/images/m/Macedonia
2:9	2843	mimejpg			rc://*/tw/dict/images/w/White Pearl Necklace
2:9	3240	mimejpg			rc://*/tw/dict/images/a/Assorted Jewelry
3:4	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
3:7	2573	mimejpg			rc://*/tw/dict/images/h/Hunting Net
3:12	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
3:15	2606	mimejpg			rc://*/tw/dict/images/c/Column
3:15	2681	mimejpg			rc://*/tw/dict/images/c/Columns
5:4	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
5:18	2349	mimejpg			rc://*/tw/dict/images/c/Cows
5:18	2477	mimejpg			rc://*/tw/dict/images/t/Threshing
5:18	2567	mimejpg			rc://*/tw/dict/images/t/Threshing Floor
5:18	2660	mimejpg			rc://*/tw/dict/images/t/Threshing Floor
5:18	2661	mimejpg			rc://*/tw/dict/images/t/Threshing Sledge
5:18	2693	mimejpg			rc://*/tw/dict/images/s/Scroll Reed Pen
5:18	3143	mimejpg			rc://*/tw/dict/images/m/Muzzle
6:1	2881	mimejpg			rc://*/tw/dict/images/y/Yoke Bullock
6:1	3141	mimejpg			rc://*/tw/dict/images/s/Slaves In Yokes
6:1	3144	mimejpg			rc://*/tw/dict/images/p/Plowing En
6:9	2573	mimejpg			rc://*/tw/dict/images/h/Hunting Net
