Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	2776	mimejpg			rc://*/tw/dict/images/c/Corinth03
1:1	2794	mimejpg			rc://*/tw/dict/images/c/Corinth Canal
1:16	2831	mimejpg			rc://*/tw/dict/images/p/Pelister Lake Macedonia
1:16	2900	mimejpg			rc://*/tw/dict/images/m/Macedonia
1:22	3239	mimejpg			rc://*/tw/dict/images/s/Signet Ring
1:23	2776	mimejpg			rc://*/tw/dict/images/c/Corinth03
1:23	2794	mimejpg			rc://*/tw/dict/images/c/Corinth Canal
2:13	2831	mimejpg			rc://*/tw/dict/images/p/Pelister Lake Macedonia
2:13	2900	mimejpg			rc://*/tw/dict/images/m/Macedonia
5:1	3179	mimejpg			rc://*/tw/dict/images/t/Tent
5:4	3179	mimejpg			rc://*/tw/dict/images/t/Tent
5:10	3005	mimejpg			rc://*/tw/dict/images/b/Bema Corinth
6:11	2776	mimejpg			rc://*/tw/dict/images/c/Corinth03
6:11	2794	mimejpg			rc://*/tw/dict/images/c/Corinth Canal
6:14	2881	mimejpg			rc://*/tw/dict/images/y/Yoke Bullock
6:14	3141	mimejpg			rc://*/tw/dict/images/s/Slaves In Yokes
6:14	3144	mimejpg			rc://*/tw/dict/images/p/Plowing En
6:16	3200	mimejpg			rc://*/tw/dict/images/c/Clay Goddess Idols
6:16	3201	mimejpg			rc://*/tw/dict/images/t/Teraphim With Mold
7:5	2831	mimejpg			rc://*/tw/dict/images/p/Pelister Lake Macedonia
7:5	2900	mimejpg			rc://*/tw/dict/images/m/Macedonia
8:1	2831	mimejpg			rc://*/tw/dict/images/p/Pelister Lake Macedonia
8:1	2900	mimejpg			rc://*/tw/dict/images/m/Macedonia
9:6	2662	mimejpg			rc://*/tw/dict/images/s/Sheaves Of Barley
9:10	2479	mimejpg			rc://*/tw/dict/images/b/Barley Seeds
9:10	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
9:10	2760	mimejpg			rc://*/tw/dict/images/t/Tamarind Seedling
11:3	2415	mimejpg			rc://*/tw/dict/images/s/Snake
11:3	2416	mimejpg			rc://*/tw/dict/images/d/Desertrocksnake
11:3	2756	mimejpg			rc://*/tw/dict/images/v/Viper
11:9	2831	mimejpg			rc://*/tw/dict/images/p/Pelister Lake Macedonia
11:9	2900	mimejpg			rc://*/tw/dict/images/m/Macedonia
11:26	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
12:14	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
13:4	3189	mimejpg			rc://*/tw/dict/images/c/Cross
