Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:8	2588	mimejpg			rc://*/tw/dict/images/t/Tanner With Leather
1:10	2813	mimejpg			rc://*/tw/dict/images/f/Fire
1:12	2813	mimejpg			rc://*/tw/dict/images/f/Fire
1:14	2813	mimejpg			rc://*/tw/dict/images/f/Fire
1:18	2693	mimejpg			rc://*/tw/dict/images/s/Scroll Reed Pen
2:1	2954	mimejpg			rc://*/tw/dict/images/w/Whirlwind
2:4	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
2:5	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
2:8	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
2:11	2357	mimejpg			rc://*/tw/dict/images/h/Horse
2:11	2594	mimejpg			rc://*/tw/dict/images/c/Chariot
2:11	2813	mimejpg			rc://*/tw/dict/images/f/Fire
2:11	2954	mimejpg			rc://*/tw/dict/images/w/Whirlwind
2:12	2594	mimejpg			rc://*/tw/dict/images/c/Chariot
2:14	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
2:15	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
2:15	2846	mimejpg			rc://*/tw/dict/images/p/Prostrate Figures
2:18	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
2:19	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
2:20	2691	mimejpg			rc://*/tw/dict/images/t/Table Salt
2:21	2691	mimejpg			rc://*/tw/dict/images/t/Table Salt
2:21	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
2:22	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
2:23	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
2:24	2347	mimejpg			rc://*/tw/dict/images/b/Bear
2:24	2455	mimejpg			rc://*/tw/dict/images/s/Sandalwood Leaf
2:24	2850	mimejpg			rc://*/tw/dict/images/r/Root Tree
2:24	3045	mimejpg			rc://*/tw/dict/images/b/Bears
3:2	3203	mimejpg			rc://*/tw/dict/images/p/Pillar Memorial Stone
3:4	2949	mimejpg			rc://*/tw/dict/images/s/Shearing Sheep
3:4	2977	mimejpg			rc://*/tw/dict/images/h/Horned Ram
3:4	2981	mimejpg			rc://*/tw/dict/images/l/Louvre Stele De Mesha
3:4	3254	mimejpg			rc://*/tw/dict/images/s/Shearing Sheep
3:7	2357	mimejpg			rc://*/tw/dict/images/h/Horse
3:7	2594	mimejpg			rc://*/tw/dict/images/c/Chariot
3:9	2349	mimejpg			rc://*/tw/dict/images/c/Cows
3:9	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
3:11	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
3:15	3232	mimejpg			rc://*/tw/dict/images/l/Lyre
3:17	2349	mimejpg			rc://*/tw/dict/images/c/Cows
3:17	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
3:17	2879	mimejpg			rc://*/tw/dict/images/g/Gale Force Winds
3:17	2910	mimejpg			rc://*/tw/dict/images/r/Rain
3:17	2945	mimejpg			rc://*/tw/dict/images/r/Rain Coming In
3:19	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
3:20	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
3:20	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
3:22	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
3:22	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
3:22	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
3:22	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
3:22	2963	mimejpg			rc://*/tw/dict/images/b/Blood
3:23	2963	mimejpg			rc://*/tw/dict/images/b/Blood
3:23	3029	mimejpg			rc://*/tw/dict/images/l/Lachish Relief
3:25	2590	mimejpg			rc://*/tw/dict/images/s/Sling
3:25	2757	mimejpg			rc://*/tw/dict/images/s/Slings En
3:25	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
3:26	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
3:26	3171	mimejpg			rc://*/tw/dict/images/c/Curved Sword
4:1	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
4:2	2703	mimejpg			rc://*/tw/dict/images/o/Olive Oil
4:2	3221	mimejpg			rc://*/tw/dict/images/f/Flask
4:6	2703	mimejpg			rc://*/tw/dict/images/o/Olive Oil
4:7	2703	mimejpg			rc://*/tw/dict/images/o/Olive Oil
4:8	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
4:10	2631	mimejpg			rc://*/tw/dict/images/c/Chair
4:10	2685	mimejpg			rc://*/tw/dict/images/a/Ashurnasirpal Ii Throne
4:10	2802	mimejpg			rc://*/tw/dict/images/d/Darius
4:10	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
4:10	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
4:10	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
4:10	3212	mimejpg			rc://*/tw/dict/images/c/Chair
4:10	3213	mimejpg			rc://*/tw/dict/images/c/Chair
