Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:13	3179	mimejpg			rc://*/tw/dict/images/t/Tent
1:14	3179	mimejpg			rc://*/tw/dict/images/t/Tent
1:18	2776	mimejpg			rc://*/tw/dict/images/c/Corinth03
1:19	2864	mimejpg			rc://*/tw/dict/images/o/Orion Nebula Stars
1:19	3208	mimejpg			rc://*/tw/dict/images/l/Lamp
1:20	2693	mimejpg			rc://*/tw/dict/images/s/Scroll Reed Pen
2:5	2908	mimejpg			rc://*/tw/dict/images/f/Flooding
2:5	2909	mimejpg			rc://*/tw/dict/images/f/Flooded Land
2:5	2940	mimejpg			rc://*/tw/dict/images/g/Great Flood
2:12	2839	mimejpg			rc://*/tw/dict/images/m/Mould On A Leather Ball
2:22	2360	mimejpg			rc://*/tw/dict/images/f/Fox
2:22	2362	mimejpg			rc://*/tw/dict/images/j/Jackal
2:22	2844	mimejpg			rc://*/tw/dict/images/b/Black Pigs
2:22	3050	mimejpg			rc://*/tw/dict/images/d/Dogs
2:22	3061	mimejpg			rc://*/tw/dict/images/p/Pigs
3:6	2908	mimejpg			rc://*/tw/dict/images/f/Flooding
3:6	2909	mimejpg			rc://*/tw/dict/images/f/Flooded Land
3:6	2940	mimejpg			rc://*/tw/dict/images/g/Great Flood
3:7	2813	mimejpg			rc://*/tw/dict/images/f/Fire
3:12	2813	mimejpg			rc://*/tw/dict/images/f/Fire
3:16	2693	mimejpg			rc://*/tw/dict/images/s/Scroll Reed Pen
