Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:4	2822	mimejpg			rc://*/tw/dict/images/t/Temple Mount
1:8	2822	mimejpg			rc://*/tw/dict/images/t/Temple Mount
1:12	2776	mimejpg			rc://*/tw/dict/images/c/Corinth03
1:12	2822	mimejpg			rc://*/tw/dict/images/t/Temple Mount
1:12	2840	mimejpg			rc://*/tw/dict/images/m/Mount Of Olives
1:16	2693	mimejpg			rc://*/tw/dict/images/s/Scroll Reed Pen
1:19	2822	mimejpg			rc://*/tw/dict/images/t/Temple Mount
1:26	3207	mimejpg			rc://*/tw/dict/images/p/Pottery Shard Lots
2:3	2813	mimejpg			rc://*/tw/dict/images/f/Fire
2:5	2822	mimejpg			rc://*/tw/dict/images/t/Temple Mount
2:9	2788	mimejpg			rc://*/tw/dict/images/g/Göreme Valley In Cappadocia
2:10	2793	mimejpg			rc://*/tw/dict/images/c/Colosseum Rome
2:10	2829	mimejpg			rc://*/tw/dict/images/l/Libya
2:10	2849	mimejpg			rc://*/tw/dict/images/f/Forum Romanum
2:14	2822	mimejpg			rc://*/tw/dict/images/t/Temple Mount
2:19	2813	mimejpg			rc://*/tw/dict/images/f/Fire
2:19	2860	mimejpg			rc://*/tw/dict/images/s/Smoke From Fire Line
2:20	2838	mimejpg			rc://*/tw/dict/images/a/Acropolis Athens
2:20	2841	mimejpg			rc://*/tw/dict/images/n/New Moon
2:20	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
2:26	2705	mimejpg			rc://*/tw/dict/images/b/Birds Nest
2:29	2684	mimejpg			rc://*/tw/dict/images/b/Burial
2:29	2956	mimejpg			rc://*/tw/dict/images/r/Rock Cut Tomb
2:30	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
2:30	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
2:30	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
2:35	2685	mimejpg			rc://*/tw/dict/images/a/Ashurnasirpal Ii Throne
2:35	2802	mimejpg			rc://*/tw/dict/images/d/Darius
2:35	3211	mimejpg			rc://*/tw/dict/images/f/Footstool
2:36	3189	mimejpg			rc://*/tw/dict/images/c/Cross
