Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:2	2858	mimejpg			rc://*/tw/dict/images/g/Good Shepherd
1:2	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
1:2	3062	mimejpg			rc://*/tw/dict/images/s/Shepherd
1:3	2477	mimejpg			rc://*/tw/dict/images/t/Threshing
1:3	2661	mimejpg			rc://*/tw/dict/images/t/Threshing Sledge
1:3	2750	mimejpg			rc://*/tw/dict/images/t/Threshing Board
1:3	3146	mimejpg			rc://*/tw/dict/images/t/Threshing Board Bottom
1:3	3147	mimejpg			rc://*/tw/dict/images/t/Threshing Board
1:4	2813	mimejpg			rc://*/tw/dict/images/f/Fire
1:5	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
1:5	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
1:5	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
1:5	3165	mimejpg			rc://*/tw/dict/images/s/Scepter
1:6	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
1:6	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
1:6	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
1:7	2813	mimejpg			rc://*/tw/dict/images/f/Fire
1:8	3165	mimejpg			rc://*/tw/dict/images/s/Scepter
1:9	3024	mimejpg			rc://*/tw/dict/images/t/Tablet Peace Treaty
1:10	2813	mimejpg			rc://*/tw/dict/images/f/Fire
1:11	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
1:11	3171	mimejpg			rc://*/tw/dict/images/c/Curved Sword
1:12	2813	mimejpg			rc://*/tw/dict/images/f/Fire
1:14	2813	mimejpg			rc://*/tw/dict/images/f/Fire
1:14	2954	mimejpg			rc://*/tw/dict/images/w/Whirlwind
1:15	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
1:15	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
1:15	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
2:1	2813	mimejpg			rc://*/tw/dict/images/f/Fire
2:2	2637	mimejpg			rc://*/tw/dict/images/h/Horn Ram
2:2	2813	mimejpg			rc://*/tw/dict/images/f/Fire
2:2	3166	mimejpg			rc://*/tw/dict/images/h/Horn Ram
2:3	2763	mimejpg			rc://*/tw/dict/images/t/Tel Arad Judgment Seat
2:5	2813	mimejpg			rc://*/tw/dict/images/f/Fire
2:6	3229	mimejpg			rc://*/tw/dict/images/s/Sandals
2:9	2436	mimejpg			rc://*/tw/dict/images/c/Cedar
2:9	2437	mimejpg			rc://*/tw/dict/images/c/Cedarcone
2:9	2446	mimejpg			rc://*/tw/dict/images/a/Acorn
2:9	2850	mimejpg			rc://*/tw/dict/images/r/Root Tree
2:9	2941	mimejpg			rc://*/tw/dict/images/r/Root Swelling
2:9	3025	mimejpg			rc://*/tw/dict/images/c/Cedars Of Lebanon
2:10	2809	mimejpg			rc://*/tw/dict/images/g/Gizah Pyramids
2:10	2923	mimejpg			rc://*/tw/dict/images/e/Egypt Goshen
2:10	3026	mimejpg			rc://*/tw/dict/images/e/Egyptian Temple Karnak
2:10	3258	mimejpg			rc://*/tw/dict/images/a/Ancient Egypt En
2:15	2357	mimejpg			rc://*/tw/dict/images/h/Horse
2:15	2594	mimejpg			rc://*/tw/dict/images/c/Chariot
3:1	2809	mimejpg			rc://*/tw/dict/images/g/Gizah Pyramids
3:1	2923	mimejpg			rc://*/tw/dict/images/e/Egypt Goshen
3:1	3026	mimejpg			rc://*/tw/dict/images/e/Egyptian Temple Karnak
3:1	3258	mimejpg			rc://*/tw/dict/images/a/Ancient Egypt En
3:2	2862	mimejpg			rc://*/tw/dict/images/s/Soil Antigo
3:4	2365	mimejpg			rc://*/tw/dict/images/l/Lions
3:4	2366	mimejpg			rc://*/tw/dict/images/l/Lioness Cub
3:4	2367	mimejpg			rc://*/tw/dict/images/l/Lion
3:4	2455	mimejpg			rc://*/tw/dict/images/s/Sandalwood Leaf
3:4	2850	mimejpg			rc://*/tw/dict/images/r/Root Tree
3:5	2705	mimejpg			rc://*/tw/dict/images/b/Birds Nest
3:5	2862	mimejpg			rc://*/tw/dict/images/s/Soil Antigo
3:6	2637	mimejpg			rc://*/tw/dict/images/h/Horn Ram
3:6	3166	mimejpg			rc://*/tw/dict/images/h/Horn Ram
3:8	2365	mimejpg			rc://*/tw/dict/images/l/Lions
3:8	2366	mimejpg			rc://*/tw/dict/images/l/Lioness Cub
3:8	2367	mimejpg			rc://*/tw/dict/images/l/Lion
3:9	2809	mimejpg			rc://*/tw/dict/images/g/Gizah Pyramids
3:9	2923	mimejpg			rc://*/tw/dict/images/e/Egypt Goshen
3:9	3026	mimejpg			rc://*/tw/dict/images/e/Egyptian Temple Karnak
3:9	3258	mimejpg			rc://*/tw/dict/images/a/Ancient Egypt En
3:11	3029	mimejpg			rc://*/tw/dict/images/l/Lachish Relief
3:12	2365	mimejpg			rc://*/tw/dict/images/l/Lions
3:12	2366	mimejpg			rc://*/tw/dict/images/l/Lioness Cub
3:12	2367	mimejpg			rc://*/tw/dict/images/l/Lion
3:12	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
3:12	2858	mimejpg			rc://*/tw/dict/images/g/Good Shepherd
3:12	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
3:12	3062	mimejpg			rc://*/tw/dict/images/s/Shepherd
4:1	2349	mimejpg			rc://*/tw/dict/images/c/Cows
4:6	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
4:7	2910	mimejpg			rc://*/tw/dict/images/r/Rain
4:7	2945	mimejpg			rc://*/tw/dict/images/r/Rain Coming In
4:8	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
4:9	2466	mimejpg			rc://*/tw/dict/images/f/Fig Unripe
4:9	2467	mimejpg			rc://*/tw/dict/images/f/Fig Fresh
4:9	2702	mimejpg			rc://*/tw/dict/images/l/Locust
4:9	2746	mimejpg			rc://*/tw/dict/images/l/Locust Swarm
4:9	2852	mimejpg			rc://*/tw/dict/images/r/Rust Chain
4:9	3093	mimejpg			rc://*/tw/dict/images/l/Locusts
4:9	3105	mimejpg			rc://*/tw/dict/images/o/Old Olive Tree
4:9	3259	mimejpg			rc://*/tw/dict/images/o/Olive Tree
4:10	2357	mimejpg			rc://*/tw/dict/images/h/Horse
4:10	2594	mimejpg			rc://*/tw/dict/images/c/Chariot
4:10	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
4:10	2809	mimejpg			rc://*/tw/dict/images/g/Gizah Pyramids
4:10	2923	mimejpg			rc://*/tw/dict/images/e/Egypt Goshen
4:10	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
4:10	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
4:10	3026	mimejpg			rc://*/tw/dict/images/e/Egyptian Temple Karnak
4:10	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
4:10	3171	mimejpg			rc://*/tw/dict/images/c/Curved Sword
4:13	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
4:13	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
4:13	2879	mimejpg			rc://*/tw/dict/images/g/Gale Force Winds
5:2	2862	mimejpg			rc://*/tw/dict/images/s/Soil Antigo
5:5	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
5:5	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
5:5	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
5:6	2813	mimejpg			rc://*/tw/dict/images/f/Fire
5:7	2559	mimejpg			rc://*/tw/dict/images/w/Wormwood Flowers
5:7	2560	mimejpg			rc://*/tw/dict/images/w/White Wormwood
5:7	3135	mimejpg			rc://*/tw/dict/images/w/Wormwood
5:8	2856	mimejpg			rc://*/tw/dict/images/s/Sea
5:8	2864	mimejpg			rc://*/tw/dict/images/o/Orion Nebula Stars
5:8	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
5:10	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
5:10	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
5:11	2603	mimejpg			rc://*/tw/dict/images/w/Wall
5:11	2760	mimejpg			rc://*/tw/dict/images/t/Tamarind Seedling
5:11	3163	mimejpg			rc://*/tw/dict/images/s/Squared Stone
5:11	3250	mimejpg			rc://*/tw/dict/images/s/Squared Stone
5:12	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
5:12	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
5:15	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
5:15	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
5:19	2347	mimejpg			rc://*/tw/dict/images/b/Bear
5:19	2365	mimejpg			rc://*/tw/dict/images/l/Lions
5:19	2366	mimejpg			rc://*/tw/dict/images/l/Lioness Cub
5:19	2367	mimejpg			rc://*/tw/dict/images/l/Lion
5:19	2415	mimejpg			rc://*/tw/dict/images/s/Snake
5:19	2416	mimejpg			rc://*/tw/dict/images/d/Desertrocksnake
5:19	2756	mimejpg			rc://*/tw/dict/images/v/Viper
5:19	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
5:19	3045	mimejpg			rc://*/tw/dict/images/b/Bears
5:22	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
5:23	3231	mimejpg			rc://*/tw/dict/images/s/Stringed Instruments
5:23	3232	mimejpg			rc://*/tw/dict/images/l/Lyre
5:24	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
5:25	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
5:26	2864	mimejpg			rc://*/tw/dict/images/o/Orion Nebula Stars
5:26	3200	mimejpg			rc://*/tw/dict/images/c/Clay Goddess Idols
5:26	3201	mimejpg			rc://*/tw/dict/images/t/Teraphim With Mold
5:27	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
5:27	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
5:27	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
6:4	2349	mimejpg			rc://*/tw/dict/images/c/Cows
6:4	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
6:5	3231	mimejpg			rc://*/tw/dict/images/s/Stringed Instruments
6:5	3232	mimejpg			rc://*/tw/dict/images/l/Lyre
6:6	2703	mimejpg			rc://*/tw/dict/images/o/Olive Oil
6:7	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
6:7	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
6:7	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
6:12	2349	mimejpg			rc://*/tw/dict/images/c/Cows
6:12	2357	mimejpg			rc://*/tw/dict/images/h/Horse
6:12	2555	mimejpg			rc://*/tw/dict/images/h/Hemlock
6:12	2560	mimejpg			rc://*/tw/dict/images/w/White Wormwood
6:12	3144	mimejpg			rc://*/tw/dict/images/p/Plowing En
7:1	2702	mimejpg			rc://*/tw/dict/images/l/Locust
7:1	2746	mimejpg			rc://*/tw/dict/images/l/Locust Swarm
7:1	3093	mimejpg			rc://*/tw/dict/images/l/Locusts
7:4	2813	mimejpg			rc://*/tw/dict/images/f/Fire
7:4	3251	mimejpg			rc://*/tw/dict/images/h/Hebrew Universe
7:9	2447	mimejpg			rc://*/tw/dict/images/p/Pine Stone
7:9	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
7:9	3171	mimejpg			rc://*/tw/dict/images/c/Curved Sword
7:11	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
7:11	2862	mimejpg			rc://*/tw/dict/images/s/Soil Antigo
7:11	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
7:11	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
7:11	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
7:11	3171	mimejpg			rc://*/tw/dict/images/c/Curved Sword
7:12	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
7:14	2466	mimejpg			rc://*/tw/dict/images/f/Fig Unripe
7:14	2473	mimejpg			rc://*/tw/dict/images/s/Sycomore Fig Tree
7:14	2474	mimejpg			rc://*/tw/dict/images/s/Sycomore Fig Ripe
7:14	3107	mimejpg			rc://*/tw/dict/images/s/Sycomore Fig
7:15	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
7:17	2589	mimejpg			rc://*/tw/dict/images/r/Rope
7:17	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
7:17	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
7:17	2862	mimejpg			rc://*/tw/dict/images/s/Soil Antigo
7:17	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
7:17	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
