Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:16	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
1:16	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
1:16	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
1:20	3189	mimejpg			rc://*/tw/dict/images/c/Cross
2:14	3189	mimejpg			rc://*/tw/dict/images/c/Cross
2:16	2841	mimejpg			rc://*/tw/dict/images/n/New Moon
2:22	2839	mimejpg			rc://*/tw/dict/images/m/Mould On A Leather Ball
3:20	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
3:21	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
4:6	2691	mimejpg			rc://*/tw/dict/images/t/Table Salt
