Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	2674	mimejpg			rc://*/tw/dict/images/s/Siegeworks En
1:1	2675	mimejpg			rc://*/tw/dict/images/s/Siege Ramp En
1:1	2677	mimejpg			rc://*/tw/dict/images/s/Siege Works En
1:1	2678	mimejpg			rc://*/tw/dict/images/s/Siege Tower
1:1	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
1:1	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
1:2	3008	mimejpg			rc://*/tw/dict/images/m/Marduk
1:4	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
1:4	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
1:10	2760	mimejpg			rc://*/tw/dict/images/t/Tamarind Seedling
1:10	2871	mimejpg			rc://*/tw/dict/images/v/Vegetable Market
1:12	2760	mimejpg			rc://*/tw/dict/images/t/Tamarind Seedling
1:12	2871	mimejpg			rc://*/tw/dict/images/v/Vegetable Market
1:12	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
1:15	2759	mimejpg			rc://*/tw/dict/images/m/Meat Market
1:16	2871	mimejpg			rc://*/tw/dict/images/v/Vegetable Market
1:18	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
2:1	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
2:2	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
2:2	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
2:4	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
2:4	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
2:5	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
2:5	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
2:10	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
2:10	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
2:11	3008	mimejpg			rc://*/tw/dict/images/m/Marduk
2:12	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
2:14	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
2:18	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
2:24	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
2:35	2879	mimejpg			rc://*/tw/dict/images/g/Gale Force Winds
2:38	2706	mimejpg			rc://*/tw/dict/images/f/Flock Of Birds
2:46	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
2:46	2846	mimejpg			rc://*/tw/dict/images/p/Prostrate Figures
2:48	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
2:49	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
3:1	2835	mimejpg			rc://*/tw/dict/images/c/Cubit
3:1	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
3:1	3201	mimejpg			rc://*/tw/dict/images/t/Teraphim With Mold
3:2	3201	mimejpg			rc://*/tw/dict/images/t/Teraphim With Mold
3:3	3201	mimejpg			rc://*/tw/dict/images/t/Teraphim With Mold
