Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:2	2968	mimejpg			rc://*/tw/dict/images/h/Horeb
1:2	2969	mimejpg			rc://*/tw/dict/images/h/Horeb
1:2	2984	mimejpg			rc://*/tw/dict/images/s/Seir Petra
1:2	2985	mimejpg			rc://*/tw/dict/images/s/Seir Roberts
1:6	2968	mimejpg			rc://*/tw/dict/images/h/Horeb
1:6	2969	mimejpg			rc://*/tw/dict/images/h/Horeb
1:7	2828	mimejpg			rc://*/tw/dict/images/l/Lebanon Mountains
1:7	2856	mimejpg			rc://*/tw/dict/images/s/Sea
1:8	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
1:10	2864	mimejpg			rc://*/tw/dict/images/o/Orion Nebula Stars
1:16	2763	mimejpg			rc://*/tw/dict/images/t/Tel Arad Judgment Seat
1:17	2763	mimejpg			rc://*/tw/dict/images/t/Tel Arad Judgment Seat
1:19	2968	mimejpg			rc://*/tw/dict/images/h/Horeb
1:19	2969	mimejpg			rc://*/tw/dict/images/h/Horeb
1:25	2481	mimejpg			rc://*/tw/dict/images/s/Sorghum Head
1:25	2482	mimejpg			rc://*/tw/dict/images/s/Sorghum Head
1:25	2483	mimejpg			rc://*/tw/dict/images/w/Wheatfield
1:25	2657	mimejpg			rc://*/tw/dict/images/c/Cornfield
1:25	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
1:27	2809	mimejpg			rc://*/tw/dict/images/g/Gizah Pyramids
1:27	2923	mimejpg			rc://*/tw/dict/images/e/Egypt Goshen
1:27	3026	mimejpg			rc://*/tw/dict/images/e/Egyptian Temple Karnak
1:27	3179	mimejpg			rc://*/tw/dict/images/t/Tent
1:27	3258	mimejpg			rc://*/tw/dict/images/a/Ancient Egypt En
1:30	2809	mimejpg			rc://*/tw/dict/images/g/Gizah Pyramids
1:30	2923	mimejpg			rc://*/tw/dict/images/e/Egypt Goshen
1:30	3026	mimejpg			rc://*/tw/dict/images/e/Egyptian Temple Karnak
1:30	3258	mimejpg			rc://*/tw/dict/images/a/Ancient Egypt En
1:33	2792	mimejpg			rc://*/tw/dict/images/a/Altocumulus Cloud
1:33	2813	mimejpg			rc://*/tw/dict/images/f/Fire
1:33	2878	mimejpg			rc://*/tw/dict/images/w/White Cloud
1:33	2967	mimejpg			rc://*/tw/dict/images/p/Pillar Of Cloud
1:39	3029	mimejpg			rc://*/tw/dict/images/l/Lachish Relief
1:40	2535	mimejpg			rc://*/tw/dict/images/c/Cattails
1:40	2856	mimejpg			rc://*/tw/dict/images/s/Sea
1:44	2421	mimejpg			rc://*/tw/dict/images/b/Bees
1:44	2984	mimejpg			rc://*/tw/dict/images/s/Seir Petra
1:44	2985	mimejpg			rc://*/tw/dict/images/s/Seir Roberts
1:44	3089	mimejpg			rc://*/tw/dict/images/b/Beesflower
2:1	2535	mimejpg			rc://*/tw/dict/images/c/Cattails
2:1	2856	mimejpg			rc://*/tw/dict/images/s/Sea
2:1	2984	mimejpg			rc://*/tw/dict/images/s/Seir Petra
2:1	2985	mimejpg			rc://*/tw/dict/images/s/Seir Roberts
2:4	2984	mimejpg			rc://*/tw/dict/images/s/Seir Petra
2:4	2985	mimejpg			rc://*/tw/dict/images/s/Seir Roberts
2:5	2984	mimejpg			rc://*/tw/dict/images/s/Seir Petra
2:5	2985	mimejpg			rc://*/tw/dict/images/s/Seir Roberts
2:6	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
2:8	2984	mimejpg			rc://*/tw/dict/images/s/Seir Petra
2:8	2985	mimejpg			rc://*/tw/dict/images/s/Seir Roberts
2:12	2984	mimejpg			rc://*/tw/dict/images/s/Seir Petra
2:12	2985	mimejpg			rc://*/tw/dict/images/s/Seir Roberts
2:22	2984	mimejpg			rc://*/tw/dict/images/s/Seir Petra
2:22	2985	mimejpg			rc://*/tw/dict/images/s/Seir Roberts
2:28	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
2:29	2984	mimejpg			rc://*/tw/dict/images/s/Seir Petra
2:29	2985	mimejpg			rc://*/tw/dict/images/s/Seir Roberts
2:35	2349	mimejpg			rc://*/tw/dict/images/c/Cows
2:35	3029	mimejpg			rc://*/tw/dict/images/l/Lachish Relief
3:7	2349	mimejpg			rc://*/tw/dict/images/c/Cows
3:7	3029	mimejpg			rc://*/tw/dict/images/l/Lachish Relief
3:8	2980	mimejpg			rc://*/tw/dict/images/g/Golan
3:9	2980	mimejpg			rc://*/tw/dict/images/g/Golan
3:11	2835	mimejpg			rc://*/tw/dict/images/c/Cubit
3:17	2856	mimejpg			rc://*/tw/dict/images/s/Sea
3:17	2921	mimejpg			rc://*/tw/dict/images/d/Dead Sea
3:17	2983	mimejpg			rc://*/tw/dict/images/n/Nebo-Pisgah
3:25	2828	mimejpg			rc://*/tw/dict/images/l/Lebanon Mountains
3:27	2983	mimejpg			rc://*/tw/dict/images/n/Nebo-Pisgah
4:10	2862	mimejpg			rc://*/tw/dict/images/s/Soil Antigo
4:10	2968	mimejpg			rc://*/tw/dict/images/h/Horeb
4:10	2969	mimejpg			rc://*/tw/dict/images/h/Horeb
4:11	2792	mimejpg			rc://*/tw/dict/images/a/Altocumulus Cloud
