Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:3	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
1:3	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
1:3	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
1:5	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
1:5	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
1:5	2942	mimejpg			rc://*/tw/dict/images/s/Sunset
1:5	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
1:5	2978	mimejpg			rc://*/tw/dict/images/s/Sun Pillar
1:5	2979	mimejpg			rc://*/tw/dict/images/s/Sunset On Mountain
1:6	2879	mimejpg			rc://*/tw/dict/images/g/Gale Force Winds
1:7	2856	mimejpg			rc://*/tw/dict/images/s/Sea
1:9	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
1:9	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
1:9	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
1:14	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
1:14	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
1:14	2879	mimejpg			rc://*/tw/dict/images/g/Gale Force Winds
1:14	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
1:17	2879	mimejpg			rc://*/tw/dict/images/g/Gale Force Winds
2:4	2760	mimejpg			rc://*/tw/dict/images/t/Tamarind Seedling
2:5	2760	mimejpg			rc://*/tw/dict/images/t/Tamarind Seedling
2:6	2455	mimejpg			rc://*/tw/dict/images/s/Sandalwood Leaf
2:6	2850	mimejpg			rc://*/tw/dict/images/r/Root Tree
2:6	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
2:6	3150	mimejpg			rc://*/tw/dict/images/i/Irrigation Channel
2:6	3182	mimejpg			rc://*/tw/dict/images/p/Pool
2:7	2349	mimejpg			rc://*/tw/dict/images/c/Cows
2:7	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
2:11	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
2:11	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
2:11	2879	mimejpg			rc://*/tw/dict/images/g/Gale Force Winds
2:11	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
2:17	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
2:17	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
2:17	2879	mimejpg			rc://*/tw/dict/images/g/Gale Force Winds
2:17	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
2:18	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
2:18	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
2:18	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
2:19	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
2:19	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
2:19	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
2:20	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
2:20	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
2:20	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
2:22	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
2:22	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
2:22	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
2:26	2879	mimejpg			rc://*/tw/dict/images/g/Gale Force Winds
3:2	2760	mimejpg			rc://*/tw/dict/images/t/Tamarind Seedling
3:2	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
3:2	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
3:2	2939	mimejpg			rc://*/tw/dict/images/b/Birth
3:16	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
3:16	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
3:16	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
3:17	2763	mimejpg			rc://*/tw/dict/images/t/Tel Arad Judgment Seat
4:1	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
4:1	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
4:1	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
4:3	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
4:3	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
4:3	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
4:4	2879	mimejpg			rc://*/tw/dict/images/g/Gale Force Winds
4:5	2759	mimejpg			rc://*/tw/dict/images/m/Meat Market
4:6	2879	mimejpg			rc://*/tw/dict/images/g/Gale Force Winds
4:7	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
4:7	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
4:7	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
4:14	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
4:14	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
4:14	2939	mimejpg			rc://*/tw/dict/images/b/Birth
4:15	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
4:15	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
4:15	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
4:16	2879	mimejpg			rc://*/tw/dict/images/g/Gale Force Winds
5:12	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
5:12	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
5:12	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
5:13	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
5:13	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
5:13	2939	mimejpg			rc://*/tw/dict/images/b/Birth
5:15	2879	mimejpg			rc://*/tw/dict/images/g/Gale Force Winds
5:17	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
5:17	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
5:17	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
