Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:13	3239	mimejpg			rc://*/tw/dict/images/s/Signet Ring
2:14	3180	mimejpg			rc://*/tw/dict/images/f/Fence
2:16	3189	mimejpg			rc://*/tw/dict/images/c/Cross
4:11	2858	mimejpg			rc://*/tw/dict/images/g/Good Shepherd
4:11	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
4:11	3062	mimejpg			rc://*/tw/dict/images/s/Shepherd
4:14	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
4:26	2942	mimejpg			rc://*/tw/dict/images/s/Sunset
4:26	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
4:30	3239	mimejpg			rc://*/tw/dict/images/s/Signet Ring
6:1	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
6:4	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
6:11	2593	mimejpg			rc://*/tw/dict/images/s/Scale Armor Detail
6:13	2593	mimejpg			rc://*/tw/dict/images/s/Scale Armor Detail
6:15	3229	mimejpg			rc://*/tw/dict/images/s/Sandals
6:16	2600	mimejpg			rc://*/tw/dict/images/m/Mantelet
6:16	2813	mimejpg			rc://*/tw/dict/images/f/Fire
6:16	3172	mimejpg			rc://*/tw/dict/images/l/Large Shield
6:17	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
6:17	3171	mimejpg			rc://*/tw/dict/images/c/Curved Sword
