Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	2778	mimejpg			rc://*/tw/dict/images/f/Foundation Slab Of Xerxes
1:2	2778	mimejpg			rc://*/tw/dict/images/f/Foundation Slab Of Xerxes
1:2	2802	mimejpg			rc://*/tw/dict/images/d/Darius
1:2	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
1:2	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
1:2	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
1:3	3009	mimejpg			rc://*/tw/dict/images/m/Median Man
1:3	3010	mimejpg			rc://*/tw/dict/images/p/Persian Median Soldiers
1:6	2540	mimejpg			rc://*/tw/dict/images/c/Cotton
1:6	2541	mimejpg			rc://*/tw/dict/images/c/Cotton
1:6	2542	mimejpg			rc://*/tw/dict/images/c/Cottonboll
1:6	2589	mimejpg			rc://*/tw/dict/images/r/Rope
1:6	2652	mimejpg			rc://*/tw/dict/images/a/Alabaster Flacon
1:6	2653	mimejpg			rc://*/tw/dict/images/a/Alabastron
1:6	2654	mimejpg			rc://*/tw/dict/images/a/Alabaster Oinment Pot
1:6	2666	mimejpg			rc://*/tw/dict/images/p/Pavement Sampietrini
1:6	2667	mimejpg			rc://*/tw/dict/images/p/Pavement Roman Petra
1:6	2683	mimejpg			rc://*/tw/dict/images/p/Pavement Roman Petra
1:9	2778	mimejpg			rc://*/tw/dict/images/f/Foundation Slab Of Xerxes
1:10	2778	mimejpg			rc://*/tw/dict/images/f/Foundation Slab Of Xerxes
1:11	2686	mimejpg			rc://*/tw/dict/images/c/Crown
1:14	3009	mimejpg			rc://*/tw/dict/images/m/Median Man
1:14	3010	mimejpg			rc://*/tw/dict/images/p/Persian Median Soldiers
1:15	2778	mimejpg			rc://*/tw/dict/images/f/Foundation Slab Of Xerxes
1:16	2778	mimejpg			rc://*/tw/dict/images/f/Foundation Slab Of Xerxes
1:17	2778	mimejpg			rc://*/tw/dict/images/f/Foundation Slab Of Xerxes
1:18	3009	mimejpg			rc://*/tw/dict/images/m/Median Man
1:18	3010	mimejpg			rc://*/tw/dict/images/p/Persian Median Soldiers
1:19	2778	mimejpg			rc://*/tw/dict/images/f/Foundation Slab Of Xerxes
1:19	3009	mimejpg			rc://*/tw/dict/images/m/Median Man
1:19	3010	mimejpg			rc://*/tw/dict/images/p/Persian Median Soldiers
1:22	2693	mimejpg			rc://*/tw/dict/images/s/Scroll Reed Pen
1:22	3030	mimejpg			rc://*/tw/dict/images/l/Lachish Letter
2:1	2778	mimejpg			rc://*/tw/dict/images/f/Foundation Slab Of Xerxes
2:6	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
2:6	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
2:6	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
2:6	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
2:6	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
2:12	2523	mimejpg			rc://*/tw/dict/images/m/Myrrh Branch
2:12	2524	mimejpg			rc://*/tw/dict/images/m/Myrrh Gum
2:12	2525	mimejpg			rc://*/tw/dict/images/m/Myrrh Leaf
2:12	2532	mimejpg			rc://*/tw/dict/images/b/Balsam
2:12	2703	mimejpg			rc://*/tw/dict/images/o/Olive Oil
2:12	2778	mimejpg			rc://*/tw/dict/images/f/Foundation Slab Of Xerxes
2:16	2778	mimejpg			rc://*/tw/dict/images/f/Foundation Slab Of Xerxes
2:17	2686	mimejpg			rc://*/tw/dict/images/c/Crown
2:19	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
2:19	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
2:21	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
2:21	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
2:21	2778	mimejpg			rc://*/tw/dict/images/f/Foundation Slab Of Xerxes
3:1	2631	mimejpg			rc://*/tw/dict/images/c/Chair
3:1	2685	mimejpg			rc://*/tw/dict/images/a/Ashurnasirpal Ii Throne
3:1	2778	mimejpg			rc://*/tw/dict/images/f/Foundation Slab Of Xerxes
3:1	3212	mimejpg			rc://*/tw/dict/images/c/Chair
3:1	3213	mimejpg			rc://*/tw/dict/images/c/Chair
3:2	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
3:2	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
3:2	2846	mimejpg			rc://*/tw/dict/images/p/Prostrate Figures
3:3	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
3:3	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
3:5	2846	mimejpg			rc://*/tw/dict/images/p/Prostrate Figures
3:6	2778	mimejpg			rc://*/tw/dict/images/f/Foundation Slab Of Xerxes
3:7	2778	mimejpg			rc://*/tw/dict/images/f/Foundation Slab Of Xerxes
3:7	3207	mimejpg			rc://*/tw/dict/images/p/Pottery Shard Lots
3:8	2778	mimejpg			rc://*/tw/dict/images/f/Foundation Slab Of Xerxes
3:10	3239	mimejpg			rc://*/tw/dict/images/s/Signet Ring
3:12	2693	mimejpg			rc://*/tw/dict/images/s/Scroll Reed Pen
3:12	2778	mimejpg			rc://*/tw/dict/images/f/Foundation Slab Of Xerxes
3:12	3239	mimejpg			rc://*/tw/dict/images/s/Signet Ring
3:13	3029	mimejpg			rc://*/tw/dict/images/l/Lachish Relief
3:13	3030	mimejpg			rc://*/tw/dict/images/l/Lachish Letter
3:14	2693	mimejpg			rc://*/tw/dict/images/s/Scroll Reed Pen
4:1	2957	mimejpg			rc://*/tw/dict/images/s/Sackcloth
4:1	2958	mimejpg			rc://*/tw/dict/images/s/Sackcloth Sacking
4:1	2962	mimejpg			rc://*/tw/dict/images/a/Ash
4:2	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
4:2	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
4:2	2957	mimejpg			rc://*/tw/dict/images/s/Sackcloth
4:2	2958	mimejpg			rc://*/tw/dict/images/s/Sackcloth Sacking
4:3	2957	mimejpg			rc://*/tw/dict/images/s/Sackcloth
4:3	2958	mimejpg			rc://*/tw/dict/images/s/Sackcloth Sacking
4:3	2962	mimejpg			rc://*/tw/dict/images/a/Ash
4:4	2957	mimejpg			rc://*/tw/dict/images/s/Sackcloth
4:4	2958	mimejpg			rc://*/tw/dict/images/s/Sackcloth Sacking
4:6	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
4:6	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
4:8	2693	mimejpg			rc://*/tw/dict/images/s/Scroll Reed Pen
4:11	3165	mimejpg			rc://*/tw/dict/images/s/Scepter
5:1	2685	mimejpg			rc://*/tw/dict/images/a/Ashurnasirpal Ii Throne
5:1	2802	mimejpg			rc://*/tw/dict/images/d/Darius
5:1	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
5:1	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
5:1	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
5:2	3165	mimejpg			rc://*/tw/dict/images/s/Scepter
5:9	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
5:9	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
5:13	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
5:13	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
5:14	2835	mimejpg			rc://*/tw/dict/images/c/Cubit
6:2	2693	mimejpg			rc://*/tw/dict/images/s/Scroll Reed Pen
