Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	2923	mimejpg			rc://*/tw/dict/images/e/Egypt Goshen
1:1	3026	mimejpg			rc://*/tw/dict/images/e/Egyptian Temple Karnak
1:1	3258	mimejpg			rc://*/tw/dict/images/a/Ancient Egypt En
1:5	2809	mimejpg			rc://*/tw/dict/images/g/Gizah Pyramids
1:5	2923	mimejpg			rc://*/tw/dict/images/e/Egypt Goshen
1:5	3026	mimejpg			rc://*/tw/dict/images/e/Egyptian Temple Karnak
1:5	3258	mimejpg			rc://*/tw/dict/images/a/Ancient Egypt En
1:7	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
1:8	2809	mimejpg			rc://*/tw/dict/images/g/Gizah Pyramids
1:8	2923	mimejpg			rc://*/tw/dict/images/e/Egypt Goshen
1:8	3026	mimejpg			rc://*/tw/dict/images/e/Egyptian Temple Karnak
1:8	3258	mimejpg			rc://*/tw/dict/images/a/Ancient Egypt En
1:11	3183	mimejpg			rc://*/tw/dict/images/g/Grain Store
1:13	2809	mimejpg			rc://*/tw/dict/images/g/Gizah Pyramids
1:13	2923	mimejpg			rc://*/tw/dict/images/e/Egypt Goshen
1:13	3026	mimejpg			rc://*/tw/dict/images/e/Egyptian Temple Karnak
1:13	3258	mimejpg			rc://*/tw/dict/images/a/Ancient Egypt En
1:14	2579	mimejpg			rc://*/tw/dict/images/b/Brick
1:15	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
1:15	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
1:15	2809	mimejpg			rc://*/tw/dict/images/g/Gizah Pyramids
1:15	2923	mimejpg			rc://*/tw/dict/images/e/Egypt Goshen
1:15	2939	mimejpg			rc://*/tw/dict/images/b/Birth
1:15	3026	mimejpg			rc://*/tw/dict/images/e/Egyptian Temple Karnak
1:16	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
1:16	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
1:16	2938	mimejpg			rc://*/tw/dict/images/s/Stone Seat
1:16	2939	mimejpg			rc://*/tw/dict/images/b/Birth
