Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
1:2	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
1:2	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
1:2	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
1:3	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
1:3	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
1:4	2792	mimejpg			rc://*/tw/dict/images/a/Altocumulus Cloud
1:4	2813	mimejpg			rc://*/tw/dict/images/f/Fire
1:4	2878	mimejpg			rc://*/tw/dict/images/w/White Cloud
1:4	2879	mimejpg			rc://*/tw/dict/images/g/Gale Force Winds
1:4	2954	mimejpg			rc://*/tw/dict/images/w/Whirlwind
1:4	2967	mimejpg			rc://*/tw/dict/images/p/Pillar Of Cloud
1:5	2992	mimejpg			rc://*/tw/dict/images/l/Living Creatures Manchester
1:5	2993	mimejpg			rc://*/tw/dict/images/l/Living Creatures Facundus
1:5	3011	mimejpg			rc://*/tw/dict/images/e/Ezekiel Chariot Vision
1:5	3013	mimejpg			rc://*/tw/dict/images/e/Ezekiel Calling
1:7	2349	mimejpg			rc://*/tw/dict/images/c/Cows
1:10	2349	mimejpg			rc://*/tw/dict/images/c/Cows
1:10	2365	mimejpg			rc://*/tw/dict/images/l/Lions
1:10	2366	mimejpg			rc://*/tw/dict/images/l/Lioness Cub
1:10	2367	mimejpg			rc://*/tw/dict/images/l/Lion
1:10	2387	mimejpg			rc://*/tw/dict/images/v/Vulture Takeoff
1:10	2388	mimejpg			rc://*/tw/dict/images/v/Vulture Flight
1:10	2712	mimejpg			rc://*/tw/dict/images/e/Egyptian Vulture
1:10	2713	mimejpg			rc://*/tw/dict/images/v/Vulture
1:10	2725	mimejpg			rc://*/tw/dict/images/b/Beardedvulture
1:10	2805	mimejpg			rc://*/tw/dict/images/w/Wingspread Eagle
1:13	2813	mimejpg			rc://*/tw/dict/images/f/Fire
1:13	2830	mimejpg			rc://*/tw/dict/images/l/Lightning
1:13	2992	mimejpg			rc://*/tw/dict/images/l/Living Creatures Manchester
1:13	2993	mimejpg			rc://*/tw/dict/images/l/Living Creatures Facundus
1:13	3011	mimejpg			rc://*/tw/dict/images/e/Ezekiel Chariot Vision
1:13	3013	mimejpg			rc://*/tw/dict/images/e/Ezekiel Calling
1:13	3015	mimejpg			rc://*/tw/dict/images/f/Flame
1:13	3016	mimejpg			rc://*/tw/dict/images/t/Torch
1:14	2992	mimejpg			rc://*/tw/dict/images/l/Living Creatures Manchester
1:14	2993	mimejpg			rc://*/tw/dict/images/l/Living Creatures Facundus
1:14	3011	mimejpg			rc://*/tw/dict/images/e/Ezekiel Chariot Vision
1:14	3013	mimejpg			rc://*/tw/dict/images/e/Ezekiel Calling
1:15	2992	mimejpg			rc://*/tw/dict/images/l/Living Creatures Manchester
1:15	2993	mimejpg			rc://*/tw/dict/images/l/Living Creatures Facundus
1:15	3011	mimejpg			rc://*/tw/dict/images/e/Ezekiel Chariot Vision
1:15	3013	mimejpg			rc://*/tw/dict/images/e/Ezekiel Calling
1:15	3237	mimejpg			rc://*/tw/dict/images/w/Wheel En
1:16	2992	mimejpg			rc://*/tw/dict/images/l/Living Creatures Manchester
1:16	3011	mimejpg			rc://*/tw/dict/images/e/Ezekiel Chariot Vision
1:16	3012	mimejpg			rc://*/tw/dict/images/b/Beryl
1:16	3013	mimejpg			rc://*/tw/dict/images/e/Ezekiel Calling
1:16	3237	mimejpg			rc://*/tw/dict/images/w/Wheel En
1:18	2647	mimejpg			rc://*/tw/dict/images/a/Axle En
1:18	3237	mimejpg			rc://*/tw/dict/images/w/Wheel En
1:19	2992	mimejpg			rc://*/tw/dict/images/l/Living Creatures Manchester
1:19	2993	mimejpg			rc://*/tw/dict/images/l/Living Creatures Facundus
1:19	3011	mimejpg			rc://*/tw/dict/images/e/Ezekiel Chariot Vision
1:19	3013	mimejpg			rc://*/tw/dict/images/e/Ezekiel Calling
1:19	3237	mimejpg			rc://*/tw/dict/images/w/Wheel En
1:20	2992	mimejpg			rc://*/tw/dict/images/l/Living Creatures Manchester
1:20	2993	mimejpg			rc://*/tw/dict/images/l/Living Creatures Facundus
1:20	3011	mimejpg			rc://*/tw/dict/images/e/Ezekiel Chariot Vision
1:20	3013	mimejpg			rc://*/tw/dict/images/e/Ezekiel Calling
1:20	3237	mimejpg			rc://*/tw/dict/images/w/Wheel En
1:21	2992	mimejpg			rc://*/tw/dict/images/l/Living Creatures Manchester
1:21	2993	mimejpg			rc://*/tw/dict/images/l/Living Creatures Facundus
1:21	3011	mimejpg			rc://*/tw/dict/images/e/Ezekiel Chariot Vision
1:21	3013	mimejpg			rc://*/tw/dict/images/e/Ezekiel Calling
1:21	3237	mimejpg			rc://*/tw/dict/images/w/Wheel En
1:22	2992	mimejpg			rc://*/tw/dict/images/l/Living Creatures Manchester
1:22	2993	mimejpg			rc://*/tw/dict/images/l/Living Creatures Facundus
1:22	3011	mimejpg			rc://*/tw/dict/images/e/Ezekiel Chariot Vision
1:22	3013	mimejpg			rc://*/tw/dict/images/e/Ezekiel Calling
1:22	3251	mimejpg			rc://*/tw/dict/images/h/Hebrew Universe
1:23	3251	mimejpg			rc://*/tw/dict/images/h/Hebrew Universe
1:24	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
1:25	3251	mimejpg			rc://*/tw/dict/images/h/Hebrew Universe
