Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	3010	mimejpg			rc://*/tw/dict/images/p/Persian Median Soldiers
1:2	3010	mimejpg			rc://*/tw/dict/images/p/Persian Median Soldiers
1:4	2349	mimejpg			rc://*/tw/dict/images/c/Cows
1:6	2349	mimejpg			rc://*/tw/dict/images/c/Cows
1:7	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
1:8	3010	mimejpg			rc://*/tw/dict/images/p/Persian Median Soldiers
1:11	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
1:11	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
1:11	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
2:1	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
2:1	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
2:1	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
2:1	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
2:1	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
2:34	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
2:62	2693	mimejpg			rc://*/tw/dict/images/s/Scroll Reed Pen
2:66	2357	mimejpg			rc://*/tw/dict/images/h/Horse
2:67	2656	mimejpg			rc://*/tw/dict/images/c/Camel Dromedary
2:67	2698	mimejpg			rc://*/tw/dict/images/c/Camel Palm
2:67	2811	mimejpg			rc://*/tw/dict/images/c/Camels
2:67	3043	mimejpg			rc://*/tw/dict/images/d/Donkey
2:67	3047	mimejpg			rc://*/tw/dict/images/d/Dromedary
2:67	3048	mimejpg			rc://*/tw/dict/images/b/Bactrian
3:2	2693	mimejpg			rc://*/tw/dict/images/s/Scroll Reed Pen
3:3	2711	mimejpg			rc://*/tw/dict/images/l/Laver Stand Cypriot
3:4	2693	mimejpg			rc://*/tw/dict/images/s/Scroll Reed Pen
3:4	3186	mimejpg			rc://*/tw/dict/images/s/Shelter
3:5	2841	mimejpg			rc://*/tw/dict/images/n/New Moon
3:7	2436	mimejpg			rc://*/tw/dict/images/c/Cedar
3:7	2437	mimejpg			rc://*/tw/dict/images/c/Cedarcone
3:7	2703	mimejpg			rc://*/tw/dict/images/o/Olive Oil
3:7	2760	mimejpg			rc://*/tw/dict/images/t/Tamarind Seedling
3:7	2828	mimejpg			rc://*/tw/dict/images/l/Lebanon Mountains
3:7	2856	mimejpg			rc://*/tw/dict/images/s/Sea
3:7	2871	mimejpg			rc://*/tw/dict/images/v/Vegetable Market
3:7	3010	mimejpg			rc://*/tw/dict/images/p/Persian Median Soldiers
3:7	3025	mimejpg			rc://*/tw/dict/images/c/Cedars Of Lebanon
3:8	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
3:8	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
3:8	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
3:10	2640	mimejpg			rc://*/tw/dict/images/c/Cymbals
4:1	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
4:1	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
4:1	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
4:3	3010	mimejpg			rc://*/tw/dict/images/p/Persian Median Soldiers
4:5	2802	mimejpg			rc://*/tw/dict/images/d/Darius
4:5	3010	mimejpg			rc://*/tw/dict/images/p/Persian Median Soldiers
4:6	2693	mimejpg			rc://*/tw/dict/images/s/Scroll Reed Pen
4:6	2778	mimejpg			rc://*/tw/dict/images/f/Foundation Slab Of Xerxes
4:7	2693	mimejpg			rc://*/tw/dict/images/s/Scroll Reed Pen
4:7	3010	mimejpg			rc://*/tw/dict/images/p/Persian Median Soldiers
4:9	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
4:9	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
4:10	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
4:10	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
4:10	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
4:15	2693	mimejpg			rc://*/tw/dict/images/s/Scroll Reed Pen
4:24	2802	mimejpg			rc://*/tw/dict/images/d/Darius
4:24	3010	mimejpg			rc://*/tw/dict/images/p/Persian Median Soldiers
5:5	2802	mimejpg			rc://*/tw/dict/images/d/Darius
5:6	2802	mimejpg			rc://*/tw/dict/images/d/Darius
5:7	2802	mimejpg			rc://*/tw/dict/images/d/Darius
5:12	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
5:12	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
5:12	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
5:12	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
5:12	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
5:13	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
5:14	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
5:17	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
6:1	2693	mimejpg			rc://*/tw/dict/images/s/Scroll Reed Pen
6:1	2802	mimejpg			rc://*/tw/dict/images/d/Darius
6:1	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
6:2	3009	mimejpg			rc://*/tw/dict/images/m/Median Man
6:2	3010	mimejpg			rc://*/tw/dict/images/p/Persian Median Soldiers
6:3	2835	mimejpg			rc://*/tw/dict/images/c/Cubit
6:5	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
6:9	2483	mimejpg			rc://*/tw/dict/images/w/Wheatfield
6:9	2657	mimejpg			rc://*/tw/dict/images/c/Cornfield
6:9	3112	mimejpg			rc://*/tw/dict/images/w/Wheat Head
6:11	3178	mimejpg			rc://*/tw/dict/images/r/Roof Beam En
6:12	2802	mimejpg			rc://*/tw/dict/images/d/Darius
6:13	2802	mimejpg			rc://*/tw/dict/images/d/Darius
6:14	2802	mimejpg			rc://*/tw/dict/images/d/Darius
6:14	3010	mimejpg			rc://*/tw/dict/images/p/Persian Median Soldiers
6:15	2802	mimejpg			rc://*/tw/dict/images/d/Darius
6:17	2721	mimejpg			rc://*/tw/dict/images/g/Goat Family
6:17	3052	mimejpg			rc://*/tw/dict/images/g/Goats
6:17	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
6:18	2693	mimejpg			rc://*/tw/dict/images/s/Scroll Reed Pen
6:19	2842	mimejpg			rc://*/tw/dict/images/s/Samaritan Passover
6:19	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
6:19	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
6:19	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
6:20	2842	mimejpg			rc://*/tw/dict/images/s/Samaritan Passover
6:20	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
6:20	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
6:20	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
6:21	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
6:21	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
6:21	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
6:22	2700	mimejpg			rc://*/tw/dict/images/u/Unleavened Bread
6:22	2701	mimejpg			rc://*/tw/dict/images/b/Bread Unleavened
6:22	3238	mimejpg			rc://*/tw/dict/images/b/Bread Unleavened
7:1	3010	mimejpg			rc://*/tw/dict/images/p/Persian Median Soldiers
7:6	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
7:6	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
7:9	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
7:9	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
7:16	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
7:17	2626	mimejpg			rc://*/tw/dict/images/l/Libation
7:17	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
7:22	2483	mimejpg			rc://*/tw/dict/images/w/Wheatfield
7:22	2657	mimejpg			rc://*/tw/dict/images/c/Cornfield
7:22	2693	mimejpg			rc://*/tw/dict/images/s/Scroll Reed Pen
7:22	3112	mimejpg			rc://*/tw/dict/images/w/Wheat Head
7:25	2763	mimejpg			rc://*/tw/dict/images/t/Tel Arad Judgment Seat
8:1	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
8:1	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
8:35	2349	mimejpg			rc://*/tw/dict/images/c/Cows
8:35	2721	mimejpg			rc://*/tw/dict/images/g/Goat Family
8:35	2977	mimejpg			rc://*/tw/dict/images/h/Horned Ram
8:35	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
8:35	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
8:35	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
9:1	2628	mimejpg			rc://*/tw/dict/images/a/Asherah En
9:4	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
9:4	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
9:5	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
9:7	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
9:7	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
9:7	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
9:7	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
9:7	3029	mimejpg			rc://*/tw/dict/images/l/Lachish Relief
9:7	3171	mimejpg			rc://*/tw/dict/images/c/Curved Sword
9:8	2604	mimejpg			rc://*/tw/dict/images/l/Loop In Rope En
9:8	2605	mimejpg			rc://*/tw/dict/images/t/Tent Pegs En
9:9	3010	mimejpg			rc://*/tw/dict/images/p/Persian Median Soldiers
9:9	3180	mimejpg			rc://*/tw/dict/images/f/Fence
9:11	2628	mimejpg			rc://*/tw/dict/images/a/Asherah En
9:14	2628	mimejpg			rc://*/tw/dict/images/a/Asherah En
10:1	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
10:3	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
10:3	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
10:3	2939	mimejpg			rc://*/tw/dict/images/b/Birth
10:6	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
10:6	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
10:6	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
10:7	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
10:7	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
10:7	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
10:8	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
10:9	2910	mimejpg			rc://*/tw/dict/images/r/Rain
10:9	2945	mimejpg			rc://*/tw/dict/images/r/Rain Coming In
10:13	2910	mimejpg			rc://*/tw/dict/images/r/Rain
10:13	2945	mimejpg			rc://*/tw/dict/images/r/Rain Coming In
10:14	2763	mimejpg			rc://*/tw/dict/images/t/Tel Arad Judgment Seat
10:16	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
10:16	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
10:16	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
10:19	2977	mimejpg			rc://*/tw/dict/images/h/Horned Ram
10:19	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
