Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:17	2822	mimejpg			rc://*/tw/dict/images/t/Temple Mount
1:18	2822	mimejpg			rc://*/tw/dict/images/t/Temple Mount
2:1	2822	mimejpg			rc://*/tw/dict/images/t/Temple Mount
2:9	2606	mimejpg			rc://*/tw/dict/images/c/Column
2:9	2681	mimejpg			rc://*/tw/dict/images/c/Columns
2:19	3189	mimejpg			rc://*/tw/dict/images/c/Cross
3:1	3189	mimejpg			rc://*/tw/dict/images/c/Cross
3:8	2693	mimejpg			rc://*/tw/dict/images/s/Scroll Reed Pen
3:22	2693	mimejpg			rc://*/tw/dict/images/s/Scroll Reed Pen
4:1	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
4:3	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
4:24	2776	mimejpg			rc://*/tw/dict/images/c/Corinth03
4:25	2776	mimejpg			rc://*/tw/dict/images/c/Corinth03
4:25	2822	mimejpg			rc://*/tw/dict/images/t/Temple Mount
4:27	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
4:30	2693	mimejpg			rc://*/tw/dict/images/s/Scroll Reed Pen
5:1	2881	mimejpg			rc://*/tw/dict/images/y/Yoke Bullock
5:1	3141	mimejpg			rc://*/tw/dict/images/s/Slaves In Yokes
5:1	3144	mimejpg			rc://*/tw/dict/images/p/Plowing En
5:9	2804	mimejpg			rc://*/tw/dict/images/r/Rolled Dough
5:11	3189	mimejpg			rc://*/tw/dict/images/c/Cross
5:24	3189	mimejpg			rc://*/tw/dict/images/c/Cross
6:7	2662	mimejpg			rc://*/tw/dict/images/s/Sheaves Of Barley
6:8	2662	mimejpg			rc://*/tw/dict/images/s/Sheaves Of Barley
6:9	2662	mimejpg			rc://*/tw/dict/images/s/Sheaves Of Barley
6:12	3189	mimejpg			rc://*/tw/dict/images/c/Cross
6:14	3189	mimejpg			rc://*/tw/dict/images/c/Cross
