Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	2806	mimejpg			rc://*/tw/dict/images/t/The Earth
1:2	2806	mimejpg			rc://*/tw/dict/images/t/The Earth
1:2	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
1:2	2879	mimejpg			rc://*/tw/dict/images/g/Gale Force Winds
1:2	3251	mimejpg			rc://*/tw/dict/images/h/Hebrew Universe
1:6	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
1:6	3251	mimejpg			rc://*/tw/dict/images/h/Hebrew Universe
1:7	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
1:7	3251	mimejpg			rc://*/tw/dict/images/h/Hebrew Universe
1:8	3251	mimejpg			rc://*/tw/dict/images/h/Hebrew Universe
1:9	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
1:10	2806	mimejpg			rc://*/tw/dict/images/t/The Earth
1:10	2856	mimejpg			rc://*/tw/dict/images/s/Sea
1:10	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
1:11	2479	mimejpg			rc://*/tw/dict/images/b/Barley Seeds
1:11	2497	mimejpg			rc://*/tw/dict/images/c/Coriander Seed
1:11	2760	mimejpg			rc://*/tw/dict/images/t/Tamarind Seedling
1:11	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
1:11	3260	mimejpg			rc://*/tw/dict/images/d/Datepalm
1:12	2479	mimejpg			rc://*/tw/dict/images/b/Barley Seeds
1:12	2497	mimejpg			rc://*/tw/dict/images/c/Coriander Seed
1:12	2760	mimejpg			rc://*/tw/dict/images/t/Tamarind Seedling
1:12	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
1:14	3251	mimejpg			rc://*/tw/dict/images/h/Hebrew Universe
1:15	3251	mimejpg			rc://*/tw/dict/images/h/Hebrew Universe
1:16	2841	mimejpg			rc://*/tw/dict/images/n/New Moon
1:16	2864	mimejpg			rc://*/tw/dict/images/o/Orion Nebula Stars
1:16	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
1:16	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
1:17	3251	mimejpg			rc://*/tw/dict/images/h/Hebrew Universe
1:20	2706	mimejpg			rc://*/tw/dict/images/f/Flock Of Birds
1:20	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
1:20	3251	mimejpg			rc://*/tw/dict/images/h/Hebrew Universe
1:21	2432	mimejpg			rc://*/tw/dict/images/d/Dragons
1:21	2706	mimejpg			rc://*/tw/dict/images/f/Flock Of Birds
1:21	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
1:22	2706	mimejpg			rc://*/tw/dict/images/f/Flock Of Birds
1:22	2856	mimejpg			rc://*/tw/dict/images/s/Sea
1:22	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
1:24	2349	mimejpg			rc://*/tw/dict/images/c/Cows
1:24	2411	mimejpg			rc://*/tw/dict/images/d/Dablizard
1:24	2412	mimejpg			rc://*/tw/dict/images/t/Thorn-Tailed Lizard
1:24	2413	mimejpg			rc://*/tw/dict/images/l/Lizard
1:24	2716	mimejpg			rc://*/tw/dict/images/a/Agama Female
1:24	2717	mimejpg			rc://*/tw/dict/images/a/Agama Lizard
1:25	2349	mimejpg			rc://*/tw/dict/images/c/Cows
1:25	2411	mimejpg			rc://*/tw/dict/images/d/Dablizard
1:25	2412	mimejpg			rc://*/tw/dict/images/t/Thorn-Tailed Lizard
1:25	2413	mimejpg			rc://*/tw/dict/images/l/Lizard
1:25	2716	mimejpg			rc://*/tw/dict/images/a/Agama Female
1:25	2717	mimejpg			rc://*/tw/dict/images/a/Agama Lizard
1:25	2862	mimejpg			rc://*/tw/dict/images/s/Soil Antigo
1:26	2349	mimejpg			rc://*/tw/dict/images/c/Cows
1:26	2411	mimejpg			rc://*/tw/dict/images/d/Dablizard
1:26	2412	mimejpg			rc://*/tw/dict/images/t/Thorn-Tailed Lizard
1:26	2413	mimejpg			rc://*/tw/dict/images/l/Lizard
1:26	2417	mimejpg			rc://*/tw/dict/images/f/Fish En
1:26	2706	mimejpg			rc://*/tw/dict/images/f/Flock Of Birds
1:26	2716	mimejpg			rc://*/tw/dict/images/a/Agama Female
1:26	2717	mimejpg			rc://*/tw/dict/images/a/Agama Lizard
1:26	2856	mimejpg			rc://*/tw/dict/images/s/Sea
1:26	3085	mimejpg			rc://*/tw/dict/images/f/Fish En
1:28	2417	mimejpg			rc://*/tw/dict/images/f/Fish En
1:28	2706	mimejpg			rc://*/tw/dict/images/f/Flock Of Birds
1:28	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
1:28	2856	mimejpg			rc://*/tw/dict/images/s/Sea
1:28	3085	mimejpg			rc://*/tw/dict/images/f/Fish En
