Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	2802	mimejpg			rc://*/tw/dict/images/d/Darius
1:10	2965	mimejpg			rc://*/tw/dict/images/d/Dew
1:11	2751	mimejpg			rc://*/tw/dict/images/h/Hoe
1:11	2862	mimejpg			rc://*/tw/dict/images/s/Soil Antigo
1:15	2802	mimejpg			rc://*/tw/dict/images/d/Darius
2:5	2809	mimejpg			rc://*/tw/dict/images/g/Gizah Pyramids
2:5	2923	mimejpg			rc://*/tw/dict/images/e/Egypt Goshen
2:5	3026	mimejpg			rc://*/tw/dict/images/e/Egyptian Temple Karnak
2:5	3258	mimejpg			rc://*/tw/dict/images/a/Ancient Egypt En
2:6	2856	mimejpg			rc://*/tw/dict/images/s/Sea
2:10	2802	mimejpg			rc://*/tw/dict/images/d/Darius
2:12	2703	mimejpg			rc://*/tw/dict/images/o/Olive Oil
2:12	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
2:12	2759	mimejpg			rc://*/tw/dict/images/m/Meat Market
2:12	2760	mimejpg			rc://*/tw/dict/images/t/Tamarind Seedling
2:12	2871	mimejpg			rc://*/tw/dict/images/v/Vegetable Market
2:17	2817	mimejpg			rc://*/tw/dict/images/h/Hail On Ground
2:17	2852	mimejpg			rc://*/tw/dict/images/r/Rust Chain
2:19	2466	mimejpg			rc://*/tw/dict/images/f/Fig Unripe
2:19	2467	mimejpg			rc://*/tw/dict/images/f/Fig Fresh
2:19	2471	mimejpg			rc://*/tw/dict/images/p/Pomegranate Tree
2:19	2472	mimejpg			rc://*/tw/dict/images/p/Pomegranate
2:19	2479	mimejpg			rc://*/tw/dict/images/b/Barley Seeds
2:19	2497	mimejpg			rc://*/tw/dict/images/c/Coriander Seed
2:19	2760	mimejpg			rc://*/tw/dict/images/t/Tamarind Seedling
2:19	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
2:19	3105	mimejpg			rc://*/tw/dict/images/o/Old Olive Tree
2:19	3106	mimejpg			rc://*/tw/dict/images/p/Pomegranate Fruit
2:22	2357	mimejpg			rc://*/tw/dict/images/h/Horse
2:22	2594	mimejpg			rc://*/tw/dict/images/c/Chariot
2:22	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
2:22	2802	mimejpg			rc://*/tw/dict/images/d/Darius
2:22	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
2:22	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
2:22	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
2:22	3171	mimejpg			rc://*/tw/dict/images/c/Curved Sword
2:23	3239	mimejpg			rc://*/tw/dict/images/s/Signet Ring
