Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:7	2813	mimejpg			rc://*/tw/dict/images/f/Fire
1:8	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
1:8	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
1:8	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
1:8	3165	mimejpg			rc://*/tw/dict/images/s/Scepter
1:9	2703	mimejpg			rc://*/tw/dict/images/o/Olive Oil
1:13	2685	mimejpg			rc://*/tw/dict/images/a/Ashurnasirpal Ii Throne
1:13	2802	mimejpg			rc://*/tw/dict/images/d/Darius
1:13	3211	mimejpg			rc://*/tw/dict/images/f/Footstool
3:17	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
4:12	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
4:12	3171	mimejpg			rc://*/tw/dict/images/c/Curved Sword
4:16	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
4:16	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
4:16	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
5:12	2931	mimejpg			rc://*/tw/dict/images/m/Milk
5:13	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
5:13	2931	mimejpg			rc://*/tw/dict/images/m/Milk
6:6	3189	mimejpg			rc://*/tw/dict/images/c/Cross
6:7	2910	mimejpg			rc://*/tw/dict/images/r/Rain
6:7	2945	mimejpg			rc://*/tw/dict/images/r/Rain Coming In
6:8	2563	mimejpg			rc://*/tw/dict/images/m/Milk Thistle
6:8	2755	mimejpg			rc://*/tw/dict/images/s/Spines Thorny Burnet Plant
6:8	3247	mimejpg			rc://*/tw/dict/images/a/Acaciathorns
6:19	2646	mimejpg			rc://*/tw/dict/images/a/Anchor
6:19	3235	mimejpg			rc://*/tw/dict/images/a/Anchor
8:1	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
8:1	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
8:1	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
8:2	2611	mimejpg			rc://*/tw/dict/images/t/Tabernacle
8:2	2612	mimejpg			rc://*/tw/dict/images/t/Tabernacle Entrance
8:5	2776	mimejpg			rc://*/tw/dict/images/c/Corinth03
9:1	2611	mimejpg			rc://*/tw/dict/images/t/Tabernacle
9:1	2612	mimejpg			rc://*/tw/dict/images/t/Tabernacle Entrance
9:2	2621	mimejpg			rc://*/tw/dict/images/s/Showbread
9:2	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
9:4	3190	mimejpg			rc://*/tw/dict/images/c/Convenant Box
9:4	3192	mimejpg			rc://*/tw/dict/images/i/Incense Altar
9:4	3193	mimejpg			rc://*/tw/dict/images/i/Incense Altar
9:5	3191	mimejpg			rc://*/tw/dict/images/c/Cherub
9:8	2682	mimejpg			rc://*/tw/dict/images/r/Roman Road
9:12	3052	mimejpg			rc://*/tw/dict/images/g/Goats
9:12	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
9:13	2962	mimejpg			rc://*/tw/dict/images/a/Ash
9:13	3052	mimejpg			rc://*/tw/dict/images/g/Goats
9:13	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
9:19	2553	mimejpg			rc://*/tw/dict/images/m/Marjoramflower
9:19	3052	mimejpg			rc://*/tw/dict/images/g/Goats
9:19	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
10:4	3052	mimejpg			rc://*/tw/dict/images/g/Goats
10:4	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
10:7	2867	mimejpg			rc://*/tw/dict/images/t/Torah Scroll
10:13	2685	mimejpg			rc://*/tw/dict/images/a/Ashurnasirpal Ii Throne
10:13	2802	mimejpg			rc://*/tw/dict/images/d/Darius
10:13	3211	mimejpg			rc://*/tw/dict/images/f/Footstool
10:20	2682	mimejpg			rc://*/tw/dict/images/r/Roman Road
10:27	2813	mimejpg			rc://*/tw/dict/images/f/Fire
11:7	2645	mimejpg			rc://*/tw/dict/images/a/Ark Noah
11:9	3179	mimejpg			rc://*/tw/dict/images/t/Tent
11:12	2864	mimejpg			rc://*/tw/dict/images/o/Orion Nebula Stars
11:12	2915	mimejpg			rc://*/tw/dict/images/s/Sand
11:23	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
11:28	2842	mimejpg			rc://*/tw/dict/images/s/Samaritan Passover
11:30	2697	mimejpg			rc://*/tw/dict/images/j/Jericho Modern
11:30	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
11:33	2365	mimejpg			rc://*/tw/dict/images/l/Lions
11:33	2366	mimejpg			rc://*/tw/dict/images/l/Lioness Cub
11:33	2367	mimejpg			rc://*/tw/dict/images/l/Lion
11:33	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
11:34	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
11:34	2813	mimejpg			rc://*/tw/dict/images/f/Fire
11:34	3171	mimejpg			rc://*/tw/dict/images/c/Curved Sword
11:36	2749	mimejpg			rc://*/tw/dict/images/w/Whip
11:36	3142	mimejpg			rc://*/tw/dict/images/s/Soldier With Whip
11:37	2585	mimejpg			rc://*/tw/dict/images/s/Saw
11:37	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
11:37	2758	mimejpg			rc://*/tw/dict/images/s/Saw Egypt
11:37	3052	mimejpg			rc://*/tw/dict/images/g/Goats
11:37	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
11:37	3171	mimejpg			rc://*/tw/dict/images/c/Curved Sword
11:38	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
11:38	2776	mimejpg			rc://*/tw/dict/images/c/Corinth03
12:2	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
12:2	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
12:2	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
12:2	3189	mimejpg			rc://*/tw/dict/images/c/Cross
12:6	2749	mimejpg			rc://*/tw/dict/images/w/Whip
12:6	3142	mimejpg			rc://*/tw/dict/images/s/Soldier With Whip
12:15	2941	mimejpg			rc://*/tw/dict/images/r/Root Swelling
12:18	2813	mimejpg			rc://*/tw/dict/images/f/Fire
12:19	2637	mimejpg			rc://*/tw/dict/images/h/Horn Ram
12:19	3166	mimejpg			rc://*/tw/dict/images/h/Horn Ram
12:20	2776	mimejpg			rc://*/tw/dict/images/c/Corinth03
12:22	2776	mimejpg			rc://*/tw/dict/images/c/Corinth03
12:29	2813	mimejpg			rc://*/tw/dict/images/f/Fire
13:12	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
13:12	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
13:20	2858	mimejpg			rc://*/tw/dict/images/g/Good Shepherd
13:20	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
13:20	3062	mimejpg			rc://*/tw/dict/images/s/Shepherd
