Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:2	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
1:3	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
1:3	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
1:3	2939	mimejpg			rc://*/tw/dict/images/b/Birth
1:4	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
1:5	2594	mimejpg			rc://*/tw/dict/images/c/Chariot
1:6	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
1:6	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
1:6	2939	mimejpg			rc://*/tw/dict/images/b/Birth
1:7	2357	mimejpg			rc://*/tw/dict/images/h/Horse
1:7	2594	mimejpg			rc://*/tw/dict/images/c/Chariot
1:7	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
1:7	3171	mimejpg			rc://*/tw/dict/images/c/Curved Sword
1:8	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
1:8	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
1:8	2939	mimejpg			rc://*/tw/dict/images/b/Birth
2:1	2856	mimejpg			rc://*/tw/dict/images/s/Sea
2:1	2915	mimejpg			rc://*/tw/dict/images/s/Sand
2:5	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
2:5	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
2:5	2939	mimejpg			rc://*/tw/dict/images/b/Birth
2:7	2543	mimejpg			rc://*/tw/dict/images/f/Flax
2:7	2544	mimejpg			rc://*/tw/dict/images/f/Flax Flower
2:7	2545	mimejpg			rc://*/tw/dict/images/f/Flax Cutting
2:7	2546	mimejpg			rc://*/tw/dict/images/f/Flax Flowers
2:7	2703	mimejpg			rc://*/tw/dict/images/o/Olive Oil
2:7	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
2:7	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
2:7	2949	mimejpg			rc://*/tw/dict/images/s/Shearing Sheep
2:7	3131	mimejpg			rc://*/tw/dict/images/f/Flax
2:7	3132	mimejpg			rc://*/tw/dict/images/f/Flax Stalk
2:8	2755	mimejpg			rc://*/tw/dict/images/s/Spines Thorny Burnet Plant
2:8	3180	mimejpg			rc://*/tw/dict/images/f/Fence
2:11	2543	mimejpg			rc://*/tw/dict/images/f/Flax
2:11	2544	mimejpg			rc://*/tw/dict/images/f/Flax Flower
2:11	2545	mimejpg			rc://*/tw/dict/images/f/Flax Cutting
2:11	2546	mimejpg			rc://*/tw/dict/images/f/Flax Flowers
2:11	2949	mimejpg			rc://*/tw/dict/images/s/Shearing Sheep
2:11	3131	mimejpg			rc://*/tw/dict/images/f/Flax
2:11	3132	mimejpg			rc://*/tw/dict/images/f/Flax Stalk
2:11	3254	mimejpg			rc://*/tw/dict/images/s/Shearing Sheep
2:13	2841	mimejpg			rc://*/tw/dict/images/n/New Moon
2:14	2455	mimejpg			rc://*/tw/dict/images/s/Sandalwood Leaf
2:14	2466	mimejpg			rc://*/tw/dict/images/f/Fig Unripe
2:14	2467	mimejpg			rc://*/tw/dict/images/f/Fig Fresh
2:14	2850	mimejpg			rc://*/tw/dict/images/r/Root Tree
2:15	3240	mimejpg			rc://*/tw/dict/images/a/Assorted Jewelry
2:15	3241	mimejpg			rc://*/tw/dict/images/e/Earrings Gold
2:17	2809	mimejpg			rc://*/tw/dict/images/g/Gizah Pyramids
2:17	2923	mimejpg			rc://*/tw/dict/images/e/Egypt Goshen
2:17	3026	mimejpg			rc://*/tw/dict/images/e/Egyptian Temple Karnak
2:17	3258	mimejpg			rc://*/tw/dict/images/a/Ancient Egypt En
2:20	2411	mimejpg			rc://*/tw/dict/images/d/Dablizard
2:20	2412	mimejpg			rc://*/tw/dict/images/t/Thorn-Tailed Lizard
2:20	2413	mimejpg			rc://*/tw/dict/images/l/Lizard
2:20	2594	mimejpg			rc://*/tw/dict/images/c/Chariot
2:20	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
2:20	2706	mimejpg			rc://*/tw/dict/images/f/Flock Of Birds
2:20	2716	mimejpg			rc://*/tw/dict/images/a/Agama Female
2:20	2717	mimejpg			rc://*/tw/dict/images/a/Agama Lizard
2:20	2862	mimejpg			rc://*/tw/dict/images/s/Soil Antigo
2:20	3171	mimejpg			rc://*/tw/dict/images/c/Curved Sword
3:1	3108	mimejpg			rc://*/tw/dict/images/g/Grape
3:2	2478	mimejpg			rc://*/tw/dict/images/b/Barleyhead
3:2	2479	mimejpg			rc://*/tw/dict/images/b/Barley Seeds
3:2	2662	mimejpg			rc://*/tw/dict/images/s/Sheaves Of Barley
3:2	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
3:4	3201	mimejpg			rc://*/tw/dict/images/t/Teraphim With Mold
3:4	3203	mimejpg			rc://*/tw/dict/images/p/Pillar Memorial Stone
4:3	2417	mimejpg			rc://*/tw/dict/images/f/Fish En
4:3	2706	mimejpg			rc://*/tw/dict/images/f/Flock Of Birds
4:3	2856	mimejpg			rc://*/tw/dict/images/s/Sea
4:3	3085	mimejpg			rc://*/tw/dict/images/f/Fish En
4:3	3086	mimejpg			rc://*/tw/dict/images/f/Fishes
4:13	2446	mimejpg			rc://*/tw/dict/images/a/Acorn
4:13	2451	mimejpg			rc://*/tw/dict/images/p/Poplar
4:13	2456	mimejpg			rc://*/tw/dict/images/s/Styrax
4:13	2459	mimejpg			rc://*/tw/dict/images/t/Terebinth
4:13	3100	mimejpg			rc://*/tw/dict/images/s/Styrax Leaf
4:16	2349	mimejpg			rc://*/tw/dict/images/c/Cows
4:16	2858	mimejpg			rc://*/tw/dict/images/g/Good Shepherd
4:16	3062	mimejpg			rc://*/tw/dict/images/s/Shepherd
4:19	2879	mimejpg			rc://*/tw/dict/images/g/Gale Force Winds
5:1	2571	mimejpg			rc://*/tw/dict/images/d/Drag Net
5:1	2573	mimejpg			rc://*/tw/dict/images/h/Hunting Net
5:1	2763	mimejpg			rc://*/tw/dict/images/t/Tel Arad Judgment Seat
5:1	2779	mimejpg			rc://*/tw/dict/images/m/Mount Tabor
5:6	2349	mimejpg			rc://*/tw/dict/images/c/Cows
5:6	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
5:7	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
5:7	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
5:7	2841	mimejpg			rc://*/tw/dict/images/n/New Moon
5:7	2939	mimejpg			rc://*/tw/dict/images/b/Birth
5:8	2637	mimejpg			rc://*/tw/dict/images/h/Horn Ram
5:8	3166	mimejpg			rc://*/tw/dict/images/h/Horn Ram
5:10	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
5:10	3181	mimejpg			rc://*/tw/dict/images/b/Boundary Marker
5:11	2763	mimejpg			rc://*/tw/dict/images/t/Tel Arad Judgment Seat
5:12	2747	mimejpg			rc://*/tw/dict/images/m/Moth
5:12	2748	mimejpg			rc://*/tw/dict/images/m/Moth Larva
5:12	3094	mimejpg			rc://*/tw/dict/images/m/Moth Larva
5:12	3095	mimejpg			rc://*/tw/dict/images/m/Moth
5:14	2365	mimejpg			rc://*/tw/dict/images/l/Lions
5:14	2366	mimejpg			rc://*/tw/dict/images/l/Lioness Cub
5:14	2367	mimejpg			rc://*/tw/dict/images/l/Lion
6:3	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
6:3	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
6:3	2910	mimejpg			rc://*/tw/dict/images/r/Rain
6:3	2945	mimejpg			rc://*/tw/dict/images/r/Rain Coming In
6:4	2792	mimejpg			rc://*/tw/dict/images/a/Altocumulus Cloud
6:4	2878	mimejpg			rc://*/tw/dict/images/w/White Cloud
6:4	2965	mimejpg			rc://*/tw/dict/images/d/Dew
6:9	3029	mimejpg			rc://*/tw/dict/images/l/Lachish Relief
7:1	3029	mimejpg			rc://*/tw/dict/images/l/Lachish Relief
7:4	2804	mimejpg			rc://*/tw/dict/images/r/Rolled Dough
7:6	2813	mimejpg			rc://*/tw/dict/images/f/Fire
7:6	3015	mimejpg			rc://*/tw/dict/images/f/Flame
7:7	2763	mimejpg			rc://*/tw/dict/images/t/Tel Arad Judgment Seat
7:8	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
7:11	2385	mimejpg			rc://*/tw/dict/images/d/Dove
7:11	2386	mimejpg			rc://*/tw/dict/images/p/Pigeon
7:11	2809	mimejpg			rc://*/tw/dict/images/g/Gizah Pyramids
7:11	2923	mimejpg			rc://*/tw/dict/images/e/Egypt Goshen
7:11	2934	mimejpg			rc://*/tw/dict/images/r/Rock Pigeons
7:11	2935	mimejpg			rc://*/tw/dict/images/c/Columba Livia
7:11	3026	mimejpg			rc://*/tw/dict/images/e/Egyptian Temple Karnak
7:11	3258	mimejpg			rc://*/tw/dict/images/a/Ancient Egypt En
7:12	2571	mimejpg			rc://*/tw/dict/images/d/Drag Net
7:12	2573	mimejpg			rc://*/tw/dict/images/h/Hunting Net
7:12	2706	mimejpg			rc://*/tw/dict/images/f/Flock Of Birds
