Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:3	2349	mimejpg			rc://*/tw/dict/images/c/Cows
1:3	3043	mimejpg			rc://*/tw/dict/images/d/Donkey
1:3	3151	mimejpg			rc://*/tw/dict/images/f/Feed Trough
1:6	2703	mimejpg			rc://*/tw/dict/images/o/Olive Oil
1:7	2813	mimejpg			rc://*/tw/dict/images/f/Fire
1:7	2862	mimejpg			rc://*/tw/dict/images/s/Soil Antigo
1:8	2493	mimejpg			rc://*/tw/dict/images/m/Muskmelon
1:8	2494	mimejpg			rc://*/tw/dict/images/m/Muskmelon Vine
1:8	2674	mimejpg			rc://*/tw/dict/images/s/Siegeworks En
1:8	2675	mimejpg			rc://*/tw/dict/images/s/Siege Ramp En
1:8	2677	mimejpg			rc://*/tw/dict/images/s/Siege Works En
1:8	2678	mimejpg			rc://*/tw/dict/images/s/Siege Tower
1:8	3186	mimejpg			rc://*/tw/dict/images/s/Shelter
1:11	2349	mimejpg			rc://*/tw/dict/images/c/Cows
1:11	2963	mimejpg			rc://*/tw/dict/images/b/Blood
1:11	2977	mimejpg			rc://*/tw/dict/images/h/Horned Ram
1:11	3052	mimejpg			rc://*/tw/dict/images/g/Goats
1:11	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
1:12	3188	mimejpg			rc://*/tw/dict/images/c/Courtyard En
1:13	2625	mimejpg			rc://*/tw/dict/images/i/Incense Altar
1:13	2628	mimejpg			rc://*/tw/dict/images/a/Asherah En
1:13	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
1:13	2841	mimejpg			rc://*/tw/dict/images/n/New Moon
1:13	3192	mimejpg			rc://*/tw/dict/images/i/Incense Altar
1:13	3193	mimejpg			rc://*/tw/dict/images/i/Incense Altar
1:14	2841	mimejpg			rc://*/tw/dict/images/n/New Moon
1:15	2963	mimejpg			rc://*/tw/dict/images/b/Blood
1:17	2763	mimejpg			rc://*/tw/dict/images/t/Tel Arad Judgment Seat
1:18	2861	mimejpg			rc://*/tw/dict/images/s/Snow
