Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:3	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
1:3	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
1:3	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
1:5	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
1:10	2760	mimejpg			rc://*/tw/dict/images/t/Tamarind Seedling
1:11	2463	mimejpg			rc://*/tw/dict/images/a/Almondtree
1:11	3101	mimejpg			rc://*/tw/dict/images/a/Almond
1:13	2633	mimejpg			rc://*/tw/dict/images/p/Pot
1:13	3194	mimejpg			rc://*/tw/dict/images/p/Pot
1:13	3217	mimejpg			rc://*/tw/dict/images/p/Pot
1:15	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
1:15	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
1:15	2802	mimejpg			rc://*/tw/dict/images/d/Darius
1:15	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
1:15	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
1:15	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
1:16	2763	mimejpg			rc://*/tw/dict/images/t/Tel Arad Judgment Seat
1:16	2846	mimejpg			rc://*/tw/dict/images/p/Prostrate Figures
2:6	2809	mimejpg			rc://*/tw/dict/images/g/Gizah Pyramids
2:6	2923	mimejpg			rc://*/tw/dict/images/e/Egypt Goshen
2:6	3022	mimejpg			rc://*/tw/dict/images/p/Pit
2:6	3026	mimejpg			rc://*/tw/dict/images/e/Egyptian Temple Karnak
2:6	3258	mimejpg			rc://*/tw/dict/images/a/Ancient Egypt En
2:7	2481	mimejpg			rc://*/tw/dict/images/s/Sorghum Head
2:7	2482	mimejpg			rc://*/tw/dict/images/s/Sorghum Head
2:7	2483	mimejpg			rc://*/tw/dict/images/w/Wheatfield
2:7	2628	mimejpg			rc://*/tw/dict/images/a/Asherah En
2:7	2657	mimejpg			rc://*/tw/dict/images/c/Cornfield
2:7	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
2:8	2858	mimejpg			rc://*/tw/dict/images/g/Good Shepherd
2:8	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
2:8	3062	mimejpg			rc://*/tw/dict/images/s/Shepherd
2:10	2798	mimejpg			rc://*/tw/dict/images/k/Kyrenia
2:10	2799	mimejpg			rc://*/tw/dict/images/k/Kourion
2:13	2607	mimejpg			rc://*/tw/dict/images/c/Cistern
2:13	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
2:13	3022	mimejpg			rc://*/tw/dict/images/p/Pit
2:14	3029	mimejpg			rc://*/tw/dict/images/l/Lachish Relief
2:15	2365	mimejpg			rc://*/tw/dict/images/l/Lions
2:15	2366	mimejpg			rc://*/tw/dict/images/l/Lioness Cub
2:15	2367	mimejpg			rc://*/tw/dict/images/l/Lion
2:15	2813	mimejpg			rc://*/tw/dict/images/f/Fire
2:16	3031	mimejpg			rc://*/tw/dict/images/p/Pharaoh Palace Memphis
2:18	2809	mimejpg			rc://*/tw/dict/images/g/Gizah Pyramids
2:18	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
2:18	2923	mimejpg			rc://*/tw/dict/images/e/Egypt Goshen
2:18	3026	mimejpg			rc://*/tw/dict/images/e/Egyptian Temple Karnak
2:18	3258	mimejpg			rc://*/tw/dict/images/a/Ancient Egypt En
2:20	2447	mimejpg			rc://*/tw/dict/images/p/Pine Stone
2:20	2881	mimejpg			rc://*/tw/dict/images/y/Yoke Bullock
2:20	3141	mimejpg			rc://*/tw/dict/images/s/Slaves In Yokes
2:20	3144	mimejpg			rc://*/tw/dict/images/p/Plowing En
2:21	2479	mimejpg			rc://*/tw/dict/images/b/Barley Seeds
2:21	2497	mimejpg			rc://*/tw/dict/images/c/Coriander Seed
2:21	2760	mimejpg			rc://*/tw/dict/images/t/Tamarind Seedling
