Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:19	2822	mimejpg			rc://*/tw/dict/images/t/Temple Mount
1:23	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
1:27	3229	mimejpg			rc://*/tw/dict/images/s/Sandals
1:32	2385	mimejpg			rc://*/tw/dict/images/d/Dove
1:32	2386	mimejpg			rc://*/tw/dict/images/p/Pigeon
1:32	2934	mimejpg			rc://*/tw/dict/images/r/Rock Pigeons
1:32	2935	mimejpg			rc://*/tw/dict/images/c/Columba Livia
1:48	2466	mimejpg			rc://*/tw/dict/images/f/Fig Unripe
1:50	2466	mimejpg			rc://*/tw/dict/images/f/Fig Unripe
2:6	2754	mimejpg			rc://*/tw/dict/images/v/Vessel Stone
2:7	2754	mimejpg			rc://*/tw/dict/images/v/Vessel Stone
2:13	2822	mimejpg			rc://*/tw/dict/images/t/Temple Mount
2:13	2842	mimejpg			rc://*/tw/dict/images/s/Samaritan Passover
2:14	2349	mimejpg			rc://*/tw/dict/images/c/Cows
2:14	2385	mimejpg			rc://*/tw/dict/images/d/Dove
2:14	2386	mimejpg			rc://*/tw/dict/images/p/Pigeon
2:14	2934	mimejpg			rc://*/tw/dict/images/r/Rock Pigeons
2:14	2935	mimejpg			rc://*/tw/dict/images/c/Columba Livia
2:15	2349	mimejpg			rc://*/tw/dict/images/c/Cows
2:15	2589	mimejpg			rc://*/tw/dict/images/r/Rope
2:15	2749	mimejpg			rc://*/tw/dict/images/w/Whip
2:15	3142	mimejpg			rc://*/tw/dict/images/s/Soldier With Whip
2:15	3159	mimejpg			rc://*/tw/dict/images/b/Bank Table
2:16	2385	mimejpg			rc://*/tw/dict/images/d/Dove
2:16	2386	mimejpg			rc://*/tw/dict/images/p/Pigeon
2:16	2934	mimejpg			rc://*/tw/dict/images/r/Rock Pigeons
2:16	2935	mimejpg			rc://*/tw/dict/images/c/Columba Livia
2:22	2693	mimejpg			rc://*/tw/dict/images/s/Scroll Reed Pen
2:23	2822	mimejpg			rc://*/tw/dict/images/t/Temple Mount
2:23	2842	mimejpg			rc://*/tw/dict/images/s/Samaritan Passover
3:14	2415	mimejpg			rc://*/tw/dict/images/s/Snake
3:14	2416	mimejpg			rc://*/tw/dict/images/d/Desertrocksnake
3:14	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
3:14	2756	mimejpg			rc://*/tw/dict/images/v/Viper
3:14	2964	mimejpg			rc://*/tw/dict/images/b/Bronze Serpent
3:29	3228	mimejpg			rc://*/tw/dict/images/v/Veil
4:20	2776	mimejpg			rc://*/tw/dict/images/c/Corinth03
4:20	2822	mimejpg			rc://*/tw/dict/images/t/Temple Mount
4:21	2776	mimejpg			rc://*/tw/dict/images/c/Corinth03
4:21	2822	mimejpg			rc://*/tw/dict/images/t/Temple Mount
4:28	2754	mimejpg			rc://*/tw/dict/images/v/Vessel Stone
4:35	2662	mimejpg			rc://*/tw/dict/images/s/Sheaves Of Barley
4:36	2662	mimejpg			rc://*/tw/dict/images/s/Sheaves Of Barley
4:37	2662	mimejpg			rc://*/tw/dict/images/s/Sheaves Of Barley
