Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:2	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
1:2	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
1:2	2939	mimejpg			rc://*/tw/dict/images/b/Birth
1:3	2349	mimejpg			rc://*/tw/dict/images/c/Cows
1:3	2656	mimejpg			rc://*/tw/dict/images/c/Camel Dromedary
1:3	2698	mimejpg			rc://*/tw/dict/images/c/Camel Palm
1:3	2811	mimejpg			rc://*/tw/dict/images/c/Camels
1:3	3043	mimejpg			rc://*/tw/dict/images/d/Donkey
1:3	3047	mimejpg			rc://*/tw/dict/images/d/Dromedary
1:3	3048	mimejpg			rc://*/tw/dict/images/b/Bactrian
1:3	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
1:10	3180	mimejpg			rc://*/tw/dict/images/f/Fence
1:13	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
1:14	2349	mimejpg			rc://*/tw/dict/images/c/Cows
1:14	3043	mimejpg			rc://*/tw/dict/images/d/Donkey
1:14	3144	mimejpg			rc://*/tw/dict/images/p/Plowing En
1:15	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
1:15	3171	mimejpg			rc://*/tw/dict/images/c/Curved Sword
1:16	2813	mimejpg			rc://*/tw/dict/images/f/Fire
1:16	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
1:17	2656	mimejpg			rc://*/tw/dict/images/c/Camel Dromedary
1:17	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
1:17	2698	mimejpg			rc://*/tw/dict/images/c/Camel Palm
1:17	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
1:17	2811	mimejpg			rc://*/tw/dict/images/c/Camels
1:17	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
1:17	3047	mimejpg			rc://*/tw/dict/images/d/Dromedary
1:17	3048	mimejpg			rc://*/tw/dict/images/b/Bactrian
1:17	3171	mimejpg			rc://*/tw/dict/images/c/Curved Sword
1:18	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
1:19	2879	mimejpg			rc://*/tw/dict/images/g/Gale Force Winds
1:20	2846	mimejpg			rc://*/tw/dict/images/p/Prostrate Figures
2:5	2759	mimejpg			rc://*/tw/dict/images/m/Meat Market
2:8	2634	mimejpg			rc://*/tw/dict/images/b/Broken Pottery
2:8	2962	mimejpg			rc://*/tw/dict/images/a/Ash
3:3	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
3:3	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
3:3	2939	mimejpg			rc://*/tw/dict/images/b/Birth
3:8	2432	mimejpg			rc://*/tw/dict/images/d/Dragons
3:8	2433	mimejpg			rc://*/tw/dict/images/c/Crocodile
3:8	3253	mimejpg			rc://*/tw/dict/images/l/Leviathan
3:9	2864	mimejpg			rc://*/tw/dict/images/o/Orion Nebula Stars
3:9	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
3:9	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
3:24	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
3:24	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
4:8	2478	mimejpg			rc://*/tw/dict/images/b/Barleyhead
4:8	2662	mimejpg			rc://*/tw/dict/images/s/Sheaves Of Barley
