Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:4	2702	mimejpg			rc://*/tw/dict/images/l/Locust
1:4	2746	mimejpg			rc://*/tw/dict/images/l/Locust Swarm
1:4	3093	mimejpg			rc://*/tw/dict/images/l/Locusts
1:6	2365	mimejpg			rc://*/tw/dict/images/l/Lions
1:6	2366	mimejpg			rc://*/tw/dict/images/l/Lioness Cub
1:6	2367	mimejpg			rc://*/tw/dict/images/l/Lion
1:7	2466	mimejpg			rc://*/tw/dict/images/f/Fig Unripe
1:7	2467	mimejpg			rc://*/tw/dict/images/f/Fig Fresh
1:8	2957	mimejpg			rc://*/tw/dict/images/s/Sackcloth
1:8	2958	mimejpg			rc://*/tw/dict/images/s/Sackcloth Sacking
1:9	2626	mimejpg			rc://*/tw/dict/images/l/Libation
1:9	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
1:10	2751	mimejpg			rc://*/tw/dict/images/h/Hoe
1:10	2862	mimejpg			rc://*/tw/dict/images/s/Soil Antigo
1:11	2478	mimejpg			rc://*/tw/dict/images/b/Barleyhead
1:11	2479	mimejpg			rc://*/tw/dict/images/b/Barley Seeds
1:11	2483	mimejpg			rc://*/tw/dict/images/w/Wheatfield
1:11	2566	mimejpg			rc://*/tw/dict/images/c/Cutting Grain Sickle
1:11	2657	mimejpg			rc://*/tw/dict/images/c/Cornfield
1:11	2662	mimejpg			rc://*/tw/dict/images/s/Sheaves Of Barley
1:11	2751	mimejpg			rc://*/tw/dict/images/h/Hoe
1:11	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
1:11	3112	mimejpg			rc://*/tw/dict/images/w/Wheat Head
1:12	2466	mimejpg			rc://*/tw/dict/images/f/Fig Unripe
1:12	2467	mimejpg			rc://*/tw/dict/images/f/Fig Fresh
1:12	2471	mimejpg			rc://*/tw/dict/images/p/Pomegranate Tree
1:12	2472	mimejpg			rc://*/tw/dict/images/p/Pomegranate
1:12	3104	mimejpg			rc://*/tw/dict/images/d/Dates
1:12	3106	mimejpg			rc://*/tw/dict/images/p/Pomegranate Fruit
1:12	3260	mimejpg			rc://*/tw/dict/images/d/Datepalm
1:13	2626	mimejpg			rc://*/tw/dict/images/l/Libation
1:13	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
1:13	2957	mimejpg			rc://*/tw/dict/images/s/Sackcloth
1:13	2958	mimejpg			rc://*/tw/dict/images/s/Sackcloth Sacking
1:17	3183	mimejpg			rc://*/tw/dict/images/g/Grain Store
1:18	2349	mimejpg			rc://*/tw/dict/images/c/Cows
1:18	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
1:19	2813	mimejpg			rc://*/tw/dict/images/f/Fire
1:19	3015	mimejpg			rc://*/tw/dict/images/f/Flame
1:20	2813	mimejpg			rc://*/tw/dict/images/f/Fire
1:20	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
2:1	2637	mimejpg			rc://*/tw/dict/images/h/Horn Ram
2:1	3166	mimejpg			rc://*/tw/dict/images/h/Horn Ram
2:2	2792	mimejpg			rc://*/tw/dict/images/a/Altocumulus Cloud
2:2	2808	mimejpg			rc://*/tw/dict/images/s/Solar Eclipse 1999
2:2	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
2:2	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
2:2	2878	mimejpg			rc://*/tw/dict/images/w/White Cloud
2:2	2967	mimejpg			rc://*/tw/dict/images/p/Pillar Of Cloud
2:3	2813	mimejpg			rc://*/tw/dict/images/f/Fire
2:3	3015	mimejpg			rc://*/tw/dict/images/f/Flame
2:4	2357	mimejpg			rc://*/tw/dict/images/h/Horse
2:4	2594	mimejpg			rc://*/tw/dict/images/c/Chariot
2:5	2594	mimejpg			rc://*/tw/dict/images/c/Chariot
2:5	2813	mimejpg			rc://*/tw/dict/images/f/Fire
2:5	3015	mimejpg			rc://*/tw/dict/images/f/Flame
2:10	2808	mimejpg			rc://*/tw/dict/images/s/Solar Eclipse 1999
2:10	2838	mimejpg			rc://*/tw/dict/images/a/Acropolis Athens
2:10	2841	mimejpg			rc://*/tw/dict/images/n/New Moon
2:10	2864	mimejpg			rc://*/tw/dict/images/o/Orion Nebula Stars
2:10	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
2:10	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
2:10	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
2:14	2626	mimejpg			rc://*/tw/dict/images/l/Libation
2:14	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
2:15	2637	mimejpg			rc://*/tw/dict/images/h/Horn Ram
2:15	3166	mimejpg			rc://*/tw/dict/images/h/Horn Ram
2:16	3228	mimejpg			rc://*/tw/dict/images/v/Veil
2:20	2856	mimejpg			rc://*/tw/dict/images/s/Sea
2:20	2867	mimejpg			rc://*/tw/dict/images/t/Torah Scroll
2:20	2921	mimejpg			rc://*/tw/dict/images/d/Dead Sea
2:20	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
2:20	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
2:21	2862	mimejpg			rc://*/tw/dict/images/s/Soil Antigo
2:22	2466	mimejpg			rc://*/tw/dict/images/f/Fig Unripe
2:22	2467	mimejpg			rc://*/tw/dict/images/f/Fig Fresh
2:23	2910	mimejpg			rc://*/tw/dict/images/r/Rain
2:23	2945	mimejpg			rc://*/tw/dict/images/r/Rain Coming In
2:24	2567	mimejpg			rc://*/tw/dict/images/t/Threshing Floor
2:25	2702	mimejpg			rc://*/tw/dict/images/l/Locust
2:25	2746	mimejpg			rc://*/tw/dict/images/l/Locust Swarm
2:25	3093	mimejpg			rc://*/tw/dict/images/l/Locusts
3:1	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
3:3	2813	mimejpg			rc://*/tw/dict/images/f/Fire
