Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:3	2853	mimejpg			rc://*/tw/dict/images/s/Sail
1:3	2863	mimejpg			rc://*/tw/dict/images/s/Spain
1:4	2853	mimejpg			rc://*/tw/dict/images/s/Sail
1:4	2856	mimejpg			rc://*/tw/dict/images/s/Sea
1:4	2879	mimejpg			rc://*/tw/dict/images/g/Gale Force Winds
1:4	2954	mimejpg			rc://*/tw/dict/images/w/Whirlwind
1:5	2853	mimejpg			rc://*/tw/dict/images/s/Sail
1:5	2856	mimejpg			rc://*/tw/dict/images/s/Sea
1:7	3207	mimejpg			rc://*/tw/dict/images/p/Pottery Shard Lots
1:9	2856	mimejpg			rc://*/tw/dict/images/s/Sea
1:11	2856	mimejpg			rc://*/tw/dict/images/s/Sea
1:12	2856	mimejpg			rc://*/tw/dict/images/s/Sea
1:12	2954	mimejpg			rc://*/tw/dict/images/w/Whirlwind
1:13	2856	mimejpg			rc://*/tw/dict/images/s/Sea
1:15	2856	mimejpg			rc://*/tw/dict/images/s/Sea
2:1	2417	mimejpg			rc://*/tw/dict/images/f/Fish En
2:1	3085	mimejpg			rc://*/tw/dict/images/f/Fish En
2:1	3086	mimejpg			rc://*/tw/dict/images/f/Fishes
2:2	2417	mimejpg			rc://*/tw/dict/images/f/Fish En
2:2	3085	mimejpg			rc://*/tw/dict/images/f/Fish En
2:2	3086	mimejpg			rc://*/tw/dict/images/f/Fishes
2:4	2856	mimejpg			rc://*/tw/dict/images/s/Sea
2:4	2877	mimejpg			rc://*/tw/dict/images/b/Breaking Waves
2:6	2535	mimejpg			rc://*/tw/dict/images/c/Cattails
2:6	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
2:6	3251	mimejpg			rc://*/tw/dict/images/h/Hebrew Universe
3:5	2957	mimejpg			rc://*/tw/dict/images/s/Sackcloth
3:5	2958	mimejpg			rc://*/tw/dict/images/s/Sackcloth Sacking
3:6	2802	mimejpg			rc://*/tw/dict/images/d/Darius
3:6	2957	mimejpg			rc://*/tw/dict/images/s/Sackcloth
3:6	2958	mimejpg			rc://*/tw/dict/images/s/Sackcloth Sacking
3:6	2962	mimejpg			rc://*/tw/dict/images/a/Ash
3:6	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
3:6	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
3:6	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
3:7	2349	mimejpg			rc://*/tw/dict/images/c/Cows
3:7	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
3:7	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
3:8	2349	mimejpg			rc://*/tw/dict/images/c/Cows
3:8	2957	mimejpg			rc://*/tw/dict/images/s/Sackcloth
3:8	2958	mimejpg			rc://*/tw/dict/images/s/Sackcloth Sacking
4:2	2862	mimejpg			rc://*/tw/dict/images/s/Soil Antigo
4:2	2863	mimejpg			rc://*/tw/dict/images/s/Spain
4:5	3186	mimejpg			rc://*/tw/dict/images/s/Shelter
4:6	2528	mimejpg			rc://*/tw/dict/images/c/Castor Leaf
4:6	2529	mimejpg			rc://*/tw/dict/images/c/Castor Oil Stalk
4:6	3124	mimejpg			rc://*/tw/dict/images/c/Castor Stalk
4:7	2528	mimejpg			rc://*/tw/dict/images/c/Castor Leaf
4:7	2529	mimejpg			rc://*/tw/dict/images/c/Castor Oil Stalk
4:7	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
4:7	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
4:7	3124	mimejpg			rc://*/tw/dict/images/c/Castor Stalk
4:8	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
4:8	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
4:8	2879	mimejpg			rc://*/tw/dict/images/g/Gale Force Winds
4:8	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
4:9	2528	mimejpg			rc://*/tw/dict/images/c/Castor Leaf
4:9	2529	mimejpg			rc://*/tw/dict/images/c/Castor Oil Stalk
4:9	3124	mimejpg			rc://*/tw/dict/images/c/Castor Stalk
4:10	2528	mimejpg			rc://*/tw/dict/images/c/Castor Leaf
4:10	2529	mimejpg			rc://*/tw/dict/images/c/Castor Oil Stalk
4:10	3124	mimejpg			rc://*/tw/dict/images/c/Castor Stalk
4:11	2349	mimejpg			rc://*/tw/dict/images/c/Cows
