Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:4	2828	mimejpg			rc://*/tw/dict/images/l/Lebanon Mountains
1:4	2856	mimejpg			rc://*/tw/dict/images/s/Sea
1:4	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
1:4	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
1:4	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
1:8	2693	mimejpg			rc://*/tw/dict/images/s/Scroll Reed Pen
1:15	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
1:15	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
1:15	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
2:1	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
2:2	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
2:3	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
2:5	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
2:5	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
2:6	2543	mimejpg			rc://*/tw/dict/images/f/Flax
2:6	2544	mimejpg			rc://*/tw/dict/images/f/Flax Flower
2:6	2545	mimejpg			rc://*/tw/dict/images/f/Flax Cutting
2:6	2546	mimejpg			rc://*/tw/dict/images/f/Flax Flowers
2:6	3131	mimejpg			rc://*/tw/dict/images/f/Flax
2:6	3132	mimejpg			rc://*/tw/dict/images/f/Flax Stalk
2:7	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
2:7	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
2:10	2535	mimejpg			rc://*/tw/dict/images/c/Cattails
2:10	2809	mimejpg			rc://*/tw/dict/images/g/Gizah Pyramids
2:10	2856	mimejpg			rc://*/tw/dict/images/s/Sea
2:10	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
2:10	2923	mimejpg			rc://*/tw/dict/images/e/Egypt Goshen
2:10	3026	mimejpg			rc://*/tw/dict/images/e/Egyptian Temple Karnak
2:10	3258	mimejpg			rc://*/tw/dict/images/a/Ancient Egypt En
2:15	2589	mimejpg			rc://*/tw/dict/images/r/Rope
3:3	3190	mimejpg			rc://*/tw/dict/images/c/Convenant Box
3:4	2835	mimejpg			rc://*/tw/dict/images/c/Cubit
3:6	3190	mimejpg			rc://*/tw/dict/images/c/Convenant Box
3:8	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
3:8	3190	mimejpg			rc://*/tw/dict/images/c/Convenant Box
3:11	3190	mimejpg			rc://*/tw/dict/images/c/Convenant Box
3:13	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
3:13	3190	mimejpg			rc://*/tw/dict/images/c/Convenant Box
3:14	3179	mimejpg			rc://*/tw/dict/images/t/Tent
3:14	3190	mimejpg			rc://*/tw/dict/images/c/Convenant Box
3:15	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
3:15	3190	mimejpg			rc://*/tw/dict/images/c/Convenant Box
3:16	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
3:16	2856	mimejpg			rc://*/tw/dict/images/s/Sea
3:16	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
3:16	2921	mimejpg			rc://*/tw/dict/images/d/Dead Sea
3:17	3190	mimejpg			rc://*/tw/dict/images/c/Convenant Box
4:5	3190	mimejpg			rc://*/tw/dict/images/c/Convenant Box
4:7	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
4:7	3190	mimejpg			rc://*/tw/dict/images/c/Convenant Box
4:9	3190	mimejpg			rc://*/tw/dict/images/c/Convenant Box
4:10	3190	mimejpg			rc://*/tw/dict/images/c/Convenant Box
4:11	3190	mimejpg			rc://*/tw/dict/images/c/Convenant Box
4:13	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
4:16	3190	mimejpg			rc://*/tw/dict/images/c/Convenant Box
4:18	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
4:18	3190	mimejpg			rc://*/tw/dict/images/c/Convenant Box
4:19	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
4:23	2535	mimejpg			rc://*/tw/dict/images/c/Cattails
4:23	2856	mimejpg			rc://*/tw/dict/images/s/Sea
4:23	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
5:1	2856	mimejpg			rc://*/tw/dict/images/s/Sea
5:1	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
5:4	2809	mimejpg			rc://*/tw/dict/images/g/Gizah Pyramids
5:4	2923	mimejpg			rc://*/tw/dict/images/e/Egypt Goshen
5:4	3026	mimejpg			rc://*/tw/dict/images/e/Egyptian Temple Karnak
5:4	3258	mimejpg			rc://*/tw/dict/images/a/Ancient Egypt En
5:5	2809	mimejpg			rc://*/tw/dict/images/g/Gizah Pyramids
5:5	2923	mimejpg			rc://*/tw/dict/images/e/Egypt Goshen
5:5	3026	mimejpg			rc://*/tw/dict/images/e/Egyptian Temple Karnak
5:5	3258	mimejpg			rc://*/tw/dict/images/a/Ancient Egypt En
5:6	2809	mimejpg			rc://*/tw/dict/images/g/Gizah Pyramids
5:6	2923	mimejpg			rc://*/tw/dict/images/e/Egypt Goshen
5:6	2926	mimejpg			rc://*/tw/dict/images/h/Honeycomb
5:6	2931	mimejpg			rc://*/tw/dict/images/m/Milk
5:6	2966	mimejpg			rc://*/tw/dict/images/m/Milk And Honey
5:6	3026	mimejpg			rc://*/tw/dict/images/e/Egyptian Temple Karnak
5:6	3258	mimejpg			rc://*/tw/dict/images/a/Ancient Egypt En
5:9	2809	mimejpg			rc://*/tw/dict/images/g/Gizah Pyramids
5:9	2923	mimejpg			rc://*/tw/dict/images/e/Egypt Goshen
5:9	3026	mimejpg			rc://*/tw/dict/images/e/Egyptian Temple Karnak
5:9	3258	mimejpg			rc://*/tw/dict/images/a/Ancient Egypt En
5:10	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
5:10	2842	mimejpg			rc://*/tw/dict/images/s/Samaritan Passover
5:11	2700	mimejpg			rc://*/tw/dict/images/u/Unleavened Bread
5:11	2701	mimejpg			rc://*/tw/dict/images/b/Bread Unleavened
5:11	2842	mimejpg			rc://*/tw/dict/images/s/Samaritan Passover
5:11	3238	mimejpg			rc://*/tw/dict/images/b/Bread Unleavened
5:13	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
5:13	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
