Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:3	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
1:3	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
1:3	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
1:4	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
1:4	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
1:5	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
1:5	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
1:5	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
1:6	2350	mimejpg			rc://*/tw/dict/images/f/Fallow Deer
1:6	2573	mimejpg			rc://*/tw/dict/images/h/Hunting Net
1:6	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
1:11	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
1:13	2571	mimejpg			rc://*/tw/dict/images/d/Drag Net
1:13	2573	mimejpg			rc://*/tw/dict/images/h/Hunting Net
1:13	2813	mimejpg			rc://*/tw/dict/images/f/Fire
1:14	2881	mimejpg			rc://*/tw/dict/images/y/Yoke Bullock
1:14	3141	mimejpg			rc://*/tw/dict/images/s/Slaves In Yokes
1:14	3144	mimejpg			rc://*/tw/dict/images/p/Plowing En
1:16	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
1:18	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
1:18	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
1:18	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
1:20	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
1:20	3171	mimejpg			rc://*/tw/dict/images/c/Curved Sword
2:1	2685	mimejpg			rc://*/tw/dict/images/a/Ashurnasirpal Ii Throne
2:1	2802	mimejpg			rc://*/tw/dict/images/d/Darius
2:1	3211	mimejpg			rc://*/tw/dict/images/f/Footstool
2:3	2637	mimejpg			rc://*/tw/dict/images/h/Horn Ram
2:3	2813	mimejpg			rc://*/tw/dict/images/f/Fire
2:3	2977	mimejpg			rc://*/tw/dict/images/h/Horned Ram
2:3	3015	mimejpg			rc://*/tw/dict/images/f/Flame
2:4	2594	mimejpg			rc://*/tw/dict/images/c/Chariot
2:4	2813	mimejpg			rc://*/tw/dict/images/f/Fire
2:4	3179	mimejpg			rc://*/tw/dict/images/t/Tent
2:7	3180	mimejpg			rc://*/tw/dict/images/f/Fence
2:8	3164	mimejpg			rc://*/tw/dict/images/m/Measuring Line
2:9	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
2:9	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
2:10	2957	mimejpg			rc://*/tw/dict/images/s/Sackcloth
2:10	2958	mimejpg			rc://*/tw/dict/images/s/Sackcloth Sacking
2:13	2856	mimejpg			rc://*/tw/dict/images/s/Sea
2:17	2637	mimejpg			rc://*/tw/dict/images/h/Horn Ram
2:17	2977	mimejpg			rc://*/tw/dict/images/h/Horned Ram
2:19	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
2:21	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
2:21	3171	mimejpg			rc://*/tw/dict/images/c/Curved Sword
3:4	2759	mimejpg			rc://*/tw/dict/images/m/Meat Market
3:5	2555	mimejpg			rc://*/tw/dict/images/h/Hemlock
3:7	2617	mimejpg			rc://*/tw/dict/images/s/Shackle
3:7	3180	mimejpg			rc://*/tw/dict/images/f/Fence
3:9	2603	mimejpg			rc://*/tw/dict/images/w/Wall
3:9	3163	mimejpg			rc://*/tw/dict/images/s/Squared Stone
3:9	3180	mimejpg			rc://*/tw/dict/images/f/Fence
3:9	3250	mimejpg			rc://*/tw/dict/images/s/Squared Stone
3:10	2347	mimejpg			rc://*/tw/dict/images/b/Bear
3:10	2365	mimejpg			rc://*/tw/dict/images/l/Lions
