Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	2612	mimejpg			rc://*/tw/dict/images/t/Tabernacle Entrance
1:2	2349	mimejpg			rc://*/tw/dict/images/c/Cows
1:2	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
1:3	2349	mimejpg			rc://*/tw/dict/images/c/Cows
1:3	2612	mimejpg			rc://*/tw/dict/images/t/Tabernacle Entrance
1:5	2349	mimejpg			rc://*/tw/dict/images/c/Cows
1:5	2612	mimejpg			rc://*/tw/dict/images/t/Tabernacle Entrance
1:5	2618	mimejpg			rc://*/tw/dict/images/t/Tabernacle Altar
1:5	2963	mimejpg			rc://*/tw/dict/images/b/Blood
1:7	2618	mimejpg			rc://*/tw/dict/images/t/Tabernacle Altar
1:7	2813	mimejpg			rc://*/tw/dict/images/f/Fire
1:8	2618	mimejpg			rc://*/tw/dict/images/t/Tabernacle Altar
1:8	2813	mimejpg			rc://*/tw/dict/images/f/Fire
1:9	2618	mimejpg			rc://*/tw/dict/images/t/Tabernacle Altar
1:9	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
1:10	2721	mimejpg			rc://*/tw/dict/images/g/Goat Family
1:10	3052	mimejpg			rc://*/tw/dict/images/g/Goats
1:10	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
1:11	2618	mimejpg			rc://*/tw/dict/images/t/Tabernacle Altar
1:11	2963	mimejpg			rc://*/tw/dict/images/b/Blood
1:12	2618	mimejpg			rc://*/tw/dict/images/t/Tabernacle Altar
1:12	2813	mimejpg			rc://*/tw/dict/images/f/Fire
1:13	2618	mimejpg			rc://*/tw/dict/images/t/Tabernacle Altar
1:13	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
1:14	2385	mimejpg			rc://*/tw/dict/images/d/Dove
1:14	2386	mimejpg			rc://*/tw/dict/images/p/Pigeon
1:14	2706	mimejpg			rc://*/tw/dict/images/f/Flock Of Birds
1:14	2934	mimejpg			rc://*/tw/dict/images/r/Rock Pigeons
1:14	2935	mimejpg			rc://*/tw/dict/images/c/Columba Livia
1:14	2936	mimejpg			rc://*/tw/dict/images/t/Turtledove
1:14	2937	mimejpg			rc://*/tw/dict/images/c/Collarded Dove
1:15	2618	mimejpg			rc://*/tw/dict/images/t/Tabernacle Altar
1:15	2963	mimejpg			rc://*/tw/dict/images/b/Blood
1:16	2618	mimejpg			rc://*/tw/dict/images/t/Tabernacle Altar
1:16	2962	mimejpg			rc://*/tw/dict/images/a/Ash
1:17	2618	mimejpg			rc://*/tw/dict/images/t/Tabernacle Altar
1:17	2813	mimejpg			rc://*/tw/dict/images/f/Fire
2:1	2518	mimejpg			rc://*/tw/dict/images/f/Frankincense Tree
2:1	2519	mimejpg			rc://*/tw/dict/images/f/Frankincense Branch
2:1	2520	mimejpg			rc://*/tw/dict/images/f/Frankincense Lump
2:1	2703	mimejpg			rc://*/tw/dict/images/o/Olive Oil
2:1	2814	mimejpg			rc://*/tw/dict/images/w/Wheat Flour
2:1	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
2:2	2518	mimejpg			rc://*/tw/dict/images/f/Frankincense Tree
2:2	2519	mimejpg			rc://*/tw/dict/images/f/Frankincense Branch
2:2	2520	mimejpg			rc://*/tw/dict/images/f/Frankincense Lump
