Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:3	2360	mimejpg			rc://*/tw/dict/images/f/Fox
1:3	2361	mimejpg			rc://*/tw/dict/images/f/Fennec
1:3	2362	mimejpg			rc://*/tw/dict/images/j/Jackal
1:3	3056	mimejpg			rc://*/tw/dict/images/f/Fennec
1:7	2622	mimejpg			rc://*/tw/dict/images/s/Sacrifice Table
1:7	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
1:10	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
1:11	2625	mimejpg			rc://*/tw/dict/images/i/Incense Altar
1:11	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
1:11	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
1:11	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
1:11	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
1:11	2978	mimejpg			rc://*/tw/dict/images/s/Sun Pillar
1:11	2979	mimejpg			rc://*/tw/dict/images/s/Sunset On Mountain
1:12	2622	mimejpg			rc://*/tw/dict/images/s/Sacrifice Table
1:13	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
1:14	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
2:3	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
2:3	2833	mimejpg			rc://*/tw/dict/images/m/Manure Heap
2:11	2628	mimejpg			rc://*/tw/dict/images/a/Asherah En
2:12	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
2:13	2618	mimejpg			rc://*/tw/dict/images/t/Tabernacle Altar
2:13	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
2:14	3024	mimejpg			rc://*/tw/dict/images/t/Tablet Peace Treaty
2:15	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
3:2	2549	mimejpg			rc://*/tw/dict/images/h/Hammada
3:2	2550	mimejpg			rc://*/tw/dict/images/s/Salsola
3:2	2813	mimejpg			rc://*/tw/dict/images/f/Fire
3:3	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
3:4	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
3:5	2763	mimejpg			rc://*/tw/dict/images/t/Tel Arad Judgment Seat
3:10	3251	mimejpg			rc://*/tw/dict/images/h/Hebrew Universe
3:11	2481	mimejpg			rc://*/tw/dict/images/s/Sorghum Head
3:11	2482	mimejpg			rc://*/tw/dict/images/s/Sorghum Head
3:11	2483	mimejpg			rc://*/tw/dict/images/w/Wheatfield
3:11	2657	mimejpg			rc://*/tw/dict/images/c/Cornfield
3:11	2751	mimejpg			rc://*/tw/dict/images/h/Hoe
3:11	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
3:11	2862	mimejpg			rc://*/tw/dict/images/s/Soil Antigo
3:16	2693	mimejpg			rc://*/tw/dict/images/s/Scroll Reed Pen
