Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:4	2813	mimejpg			rc://*/tw/dict/images/f/Fire
1:4	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
1:5	2447	mimejpg			rc://*/tw/dict/images/p/Pine Stone
1:6	3184	mimejpg			rc://*/tw/dict/images/t/Tell
1:7	2813	mimejpg			rc://*/tw/dict/images/f/Fire
1:7	3202	mimejpg			rc://*/tw/dict/images/s/Stone Image
1:8	2360	mimejpg			rc://*/tw/dict/images/f/Fox
1:8	2361	mimejpg			rc://*/tw/dict/images/f/Fennec
1:8	2362	mimejpg			rc://*/tw/dict/images/j/Jackal
1:8	2398	mimejpg			rc://*/tw/dict/images/o/Ostrich
1:8	2728	mimejpg			rc://*/tw/dict/images/e/Eagle Owl
1:8	3056	mimejpg			rc://*/tw/dict/images/f/Fennec
1:8	3072	mimejpg			rc://*/tw/dict/images/o/Ostrich
1:8	3073	mimejpg			rc://*/tw/dict/images/e/Eagle Owl
1:9	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
1:9	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
1:12	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
1:12	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
1:13	2357	mimejpg			rc://*/tw/dict/images/h/Horse
1:13	2594	mimejpg			rc://*/tw/dict/images/c/Chariot
1:13	3030	mimejpg			rc://*/tw/dict/images/l/Lachish Letter
1:16	2387	mimejpg			rc://*/tw/dict/images/v/Vulture Takeoff
1:16	2388	mimejpg			rc://*/tw/dict/images/v/Vulture Flight
1:16	2712	mimejpg			rc://*/tw/dict/images/e/Egyptian Vulture
1:16	2713	mimejpg			rc://*/tw/dict/images/v/Vulture
1:16	2725	mimejpg			rc://*/tw/dict/images/b/Beardedvulture
1:16	2805	mimejpg			rc://*/tw/dict/images/w/Wingspread Eagle
1:16	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
1:16	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
1:16	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
1:16	3069	mimejpg			rc://*/tw/dict/images/v/Vulture
2:5	2589	mimejpg			rc://*/tw/dict/images/r/Rope
2:5	3164	mimejpg			rc://*/tw/dict/images/m/Measuring Line
2:5	3207	mimejpg			rc://*/tw/dict/images/p/Pottery Shard Lots
2:12	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
2:13	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
2:13	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
3:3	2633	mimejpg			rc://*/tw/dict/images/p/Pot
3:3	2759	mimejpg			rc://*/tw/dict/images/m/Meat Market
3:3	3194	mimejpg			rc://*/tw/dict/images/p/Pot
3:3	3217	mimejpg			rc://*/tw/dict/images/p/Pot
3:6	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
3:6	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
3:6	2942	mimejpg			rc://*/tw/dict/images/s/Sunset
3:6	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
3:6	2978	mimejpg			rc://*/tw/dict/images/s/Sun Pillar
3:6	2979	mimejpg			rc://*/tw/dict/images/s/Sunset On Mountain
3:11	2763	mimejpg			rc://*/tw/dict/images/t/Tel Arad Judgment Seat
3:12	2455	mimejpg			rc://*/tw/dict/images/s/Sandalwood Leaf
3:12	2850	mimejpg			rc://*/tw/dict/images/r/Root Tree
3:12	3144	mimejpg			rc://*/tw/dict/images/p/Plowing En
4:3	2570	mimejpg			rc://*/tw/dict/images/p/Pruning Hook
4:3	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
4:3	2695	mimejpg			rc://*/tw/dict/images/s/Spearhead
4:3	2696	mimejpg			rc://*/tw/dict/images/s/Spearhead
4:3	2763	mimejpg			rc://*/tw/dict/images/t/Tel Arad Judgment Seat
4:3	3144	mimejpg			rc://*/tw/dict/images/p/Plowing En
4:3	3171	mimejpg			rc://*/tw/dict/images/c/Curved Sword
4:4	2466	mimejpg			rc://*/tw/dict/images/f/Fig Unripe
4:4	2467	mimejpg			rc://*/tw/dict/images/f/Fig Fresh
4:6	2867	mimejpg			rc://*/tw/dict/images/t/Torah Scroll
4:6	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
4:6	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
4:9	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
4:9	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
4:9	2939	mimejpg			rc://*/tw/dict/images/b/Birth
4:10	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
4:10	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
4:10	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
4:10	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
4:10	2939	mimejpg			rc://*/tw/dict/images/b/Birth
4:12	2567	mimejpg			rc://*/tw/dict/images/t/Threshing Floor
4:13	2637	mimejpg			rc://*/tw/dict/images/h/Horn Ram
4:13	2977	mimejpg			rc://*/tw/dict/images/h/Horned Ram
4:13	3029	mimejpg			rc://*/tw/dict/images/l/Lachish Relief
5:2	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
5:2	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
5:2	2939	mimejpg			rc://*/tw/dict/images/b/Birth
5:3	2858	mimejpg			rc://*/tw/dict/images/g/Good Shepherd
5:3	3062	mimejpg			rc://*/tw/dict/images/s/Shepherd
5:4	2858	mimejpg			rc://*/tw/dict/images/g/Good Shepherd
5:4	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
5:4	3062	mimejpg			rc://*/tw/dict/images/s/Shepherd
5:5	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
5:5	3171	mimejpg			rc://*/tw/dict/images/c/Curved Sword
5:6	2965	mimejpg			rc://*/tw/dict/images/d/Dew
5:7	2365	mimejpg			rc://*/tw/dict/images/l/Lions
5:7	2366	mimejpg			rc://*/tw/dict/images/l/Lioness Cub
5:7	2367	mimejpg			rc://*/tw/dict/images/l/Lion
5:7	2455	mimejpg			rc://*/tw/dict/images/s/Sandalwood Leaf
5:7	2850	mimejpg			rc://*/tw/dict/images/r/Root Tree
5:7	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
5:9	2357	mimejpg			rc://*/tw/dict/images/h/Horse
