Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:2	2682	mimejpg			rc://*/tw/dict/images/r/Roman Road
1:3	2682	mimejpg			rc://*/tw/dict/images/r/Roman Road
1:3	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
1:4	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
1:6	2421	mimejpg			rc://*/tw/dict/images/b/Bees
1:6	2636	mimejpg			rc://*/tw/dict/images/a/Apron Leather
1:6	2656	mimejpg			rc://*/tw/dict/images/c/Camel Dromedary
1:6	2702	mimejpg			rc://*/tw/dict/images/l/Locust
1:6	2746	mimejpg			rc://*/tw/dict/images/l/Locust Swarm
1:6	3047	mimejpg			rc://*/tw/dict/images/d/Dromedary
1:6	3048	mimejpg			rc://*/tw/dict/images/b/Bactrian
1:6	3089	mimejpg			rc://*/tw/dict/images/b/Beesflower
1:6	3093	mimejpg			rc://*/tw/dict/images/l/Locusts
1:7	3229	mimejpg			rc://*/tw/dict/images/s/Sandals
1:10	2385	mimejpg			rc://*/tw/dict/images/d/Dove
1:10	2386	mimejpg			rc://*/tw/dict/images/p/Pigeon
1:10	2934	mimejpg			rc://*/tw/dict/images/r/Rock Pigeons
1:10	2935	mimejpg			rc://*/tw/dict/images/c/Columba Livia
1:12	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
1:13	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
1:18	3152	mimejpg			rc://*/tw/dict/images/t/Trammel Net
1:19	2853	mimejpg			rc://*/tw/dict/images/s/Sail
1:19	2902	mimejpg			rc://*/tw/dict/images/g/Galilee Boat
1:19	3152	mimejpg			rc://*/tw/dict/images/t/Trammel Net
1:20	2853	mimejpg			rc://*/tw/dict/images/s/Sail
1:20	2902	mimejpg			rc://*/tw/dict/images/g/Galilee Boat
1:21	26265	mimejpg			rc://*/tw/dict/images/c/Corinth Inscription
1:21	26269	mimejpg			rc://*/tw/dict/images/s/Synagogue Nazareth Inside
1:21	26270	mimejpg			rc://*/tw/dict/images/s/Synagogue Capernaum
1:22	26266	mimejpg			rc://*/tw/dict/images/s/Scribe At Work
1:23	26265	mimejpg			rc://*/tw/dict/images/c/Corinth Inscription
1:23	26269	mimejpg			rc://*/tw/dict/images/s/Synagogue Nazareth Inside
1:23	26270	mimejpg			rc://*/tw/dict/images/s/Synagogue Capernaum
1:29	26265	mimejpg			rc://*/tw/dict/images/c/Corinth Inscription
1:32	2942	mimejpg			rc://*/tw/dict/images/s/Sunset
1:32	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
1:33	26267	mimejpg			rc://*/tw/dict/images/w/Wooden Outside Door
1:35	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
1:39	26265	mimejpg			rc://*/tw/dict/images/c/Corinth Inscription
1:40	2753	mimejpg			rc://*/tw/dict/images/s/Skin Disease
1:42	2753	mimejpg			rc://*/tw/dict/images/s/Skin Disease
1:45	2699	mimejpg			rc://*/tw/dict/images/j/Judaean Desert
2:1	26270	mimejpg			rc://*/tw/dict/images/s/Synagogue Capernaum
2:2	26267	mimejpg			rc://*/tw/dict/images/w/Wooden Outside Door
2:6	26266	mimejpg			rc://*/tw/dict/images/s/Scribe At Work
2:16	26266	mimejpg			rc://*/tw/dict/images/s/Scribe At Work
2:22	3219	mimejpg			rc://*/tw/dict/images/w/Waterskin
2:23	2483	mimejpg			rc://*/tw/dict/images/w/Wheatfield
2:23	2657	mimejpg			rc://*/tw/dict/images/c/Cornfield
2:26	2621	mimejpg			rc://*/tw/dict/images/s/Showbread
2:26	26268	mimejpg			rc://*/tw/dict/images/t/Temple Herod
3:1	26265	mimejpg			rc://*/tw/dict/images/c/Corinth Inscription
3:1	26269	mimejpg			rc://*/tw/dict/images/s/Synagogue Nazareth Inside
3:8	2822	mimejpg			rc://*/tw/dict/images/t/Temple Mount
3:9	2902	mimejpg			rc://*/tw/dict/images/g/Galilee Boat
3:10	2749	mimejpg			rc://*/tw/dict/images/w/Whip
3:13	2776	mimejpg			rc://*/tw/dict/images/c/Corinth03
3:20	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
3:22	2822	mimejpg			rc://*/tw/dict/images/t/Temple Mount
3:22	26266	mimejpg			rc://*/tw/dict/images/s/Scribe At Work
4:1	2853	mimejpg			rc://*/tw/dict/images/s/Sail
4:1	2902	mimejpg			rc://*/tw/dict/images/g/Galilee Boat
4:4	2682	mimejpg			rc://*/tw/dict/images/r/Roman Road
4:4	2705	mimejpg			rc://*/tw/dict/images/b/Birds Nest
4:4	2706	mimejpg			rc://*/tw/dict/images/f/Flock Of Birds
