Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:3	2792	mimejpg			rc://*/tw/dict/images/a/Altocumulus Cloud
1:3	2878	mimejpg			rc://*/tw/dict/images/w/White Cloud
1:3	2954	mimejpg			rc://*/tw/dict/images/w/Whirlwind
1:3	2967	mimejpg			rc://*/tw/dict/images/p/Pillar Of Cloud
1:4	2828	mimejpg			rc://*/tw/dict/images/l/Lebanon Mountains
1:4	2856	mimejpg			rc://*/tw/dict/images/s/Sea
1:6	2813	mimejpg			rc://*/tw/dict/images/f/Fire
1:8	2908	mimejpg			rc://*/tw/dict/images/f/Flooding
1:8	2909	mimejpg			rc://*/tw/dict/images/f/Flooded Land
1:10	2755	mimejpg			rc://*/tw/dict/images/s/Spines Thorny Burnet Plant
1:12	2949	mimejpg			rc://*/tw/dict/images/s/Shearing Sheep
1:12	3254	mimejpg			rc://*/tw/dict/images/s/Shearing Sheep
1:13	2881	mimejpg			rc://*/tw/dict/images/y/Yoke Bullock
1:13	3141	mimejpg			rc://*/tw/dict/images/s/Slaves In Yokes
1:13	3144	mimejpg			rc://*/tw/dict/images/p/Plowing En
1:14	3202	mimejpg			rc://*/tw/dict/images/s/Stone Image
2:3	3029	mimejpg			rc://*/tw/dict/images/l/Lachish Relief
2:4	2438	mimejpg			rc://*/tw/dict/images/c/Cypress Cone
2:4	2441	mimejpg			rc://*/tw/dict/images/f/Fir
2:4	2594	mimejpg			rc://*/tw/dict/images/c/Chariot
2:4	2696	mimejpg			rc://*/tw/dict/images/s/Spearhead
2:4	2813	mimejpg			rc://*/tw/dict/images/f/Fire
2:4	3006	mimejpg			rc://*/tw/dict/images/j/Juniperus Excelsa
2:4	3007	mimejpg			rc://*/tw/dict/images/j/Juniperus Excelsa Antalya
2:4	3173	mimejpg			rc://*/tw/dict/images/r/Round Shield
2:5	2594	mimejpg			rc://*/tw/dict/images/c/Chariot
2:5	2830	mimejpg			rc://*/tw/dict/images/l/Lightning
2:5	3015	mimejpg			rc://*/tw/dict/images/f/Flame
2:5	3016	mimejpg			rc://*/tw/dict/images/t/Torch
2:6	2600	mimejpg			rc://*/tw/dict/images/m/Mantelet
2:7	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
2:7	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
2:8	2385	mimejpg			rc://*/tw/dict/images/d/Dove
2:8	2386	mimejpg			rc://*/tw/dict/images/p/Pigeon
2:8	2934	mimejpg			rc://*/tw/dict/images/r/Rock Pigeons
2:8	2935	mimejpg			rc://*/tw/dict/images/c/Columba Livia
2:8	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
2:8	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
2:8	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
2:9	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
2:9	3182	mimejpg			rc://*/tw/dict/images/p/Pool
2:10	3029	mimejpg			rc://*/tw/dict/images/l/Lachish Relief
2:12	2365	mimejpg			rc://*/tw/dict/images/l/Lions
2:12	2366	mimejpg			rc://*/tw/dict/images/l/Lioness Cub
2:12	2367	mimejpg			rc://*/tw/dict/images/l/Lion
2:12	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
2:12	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
2:13	2365	mimejpg			rc://*/tw/dict/images/l/Lions
2:13	2366	mimejpg			rc://*/tw/dict/images/l/Lioness Cub
2:13	2367	mimejpg			rc://*/tw/dict/images/l/Lion
3:1	3029	mimejpg			rc://*/tw/dict/images/l/Lachish Relief
3:2	2357	mimejpg			rc://*/tw/dict/images/h/Horse
3:2	2594	mimejpg			rc://*/tw/dict/images/c/Chariot
3:2	2749	mimejpg			rc://*/tw/dict/images/w/Whip
3:2	3142	mimejpg			rc://*/tw/dict/images/s/Soldier With Whip
3:2	3237	mimejpg			rc://*/tw/dict/images/w/Wheel En
3:3	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
3:3	2695	mimejpg			rc://*/tw/dict/images/s/Spearhead
3:3	2696	mimejpg			rc://*/tw/dict/images/s/Spearhead
3:3	2830	mimejpg			rc://*/tw/dict/images/l/Lightning
3:3	3015	mimejpg			rc://*/tw/dict/images/f/Flame
3:3	3171	mimejpg			rc://*/tw/dict/images/c/Curved Sword
3:6	2628	mimejpg			rc://*/tw/dict/images/a/Asherah En
3:6	2847	mimejpg			rc://*/tw/dict/images/r/Refuse Garbage
3:8	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
3:8	3032	mimejpg			rc://*/tw/dict/images/t/Thebes Temple Of Amon
3:9	2809	mimejpg			rc://*/tw/dict/images/g/Gizah Pyramids
3:9	2829	mimejpg			rc://*/tw/dict/images/l/Libya
3:9	2923	mimejpg			rc://*/tw/dict/images/e/Egypt Goshen
3:9	3026	mimejpg			rc://*/tw/dict/images/e/Egyptian Temple Karnak
3:9	3258	mimejpg			rc://*/tw/dict/images/a/Ancient Egypt En
3:10	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
3:10	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
3:10	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
3:10	3207	mimejpg			rc://*/tw/dict/images/p/Pottery Shard Lots
