Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:4	2387	mimejpg			rc://*/tw/dict/images/v/Vulture Takeoff
1:4	2388	mimejpg			rc://*/tw/dict/images/v/Vulture Flight
1:4	2712	mimejpg			rc://*/tw/dict/images/e/Egyptian Vulture
1:4	2713	mimejpg			rc://*/tw/dict/images/v/Vulture
1:4	2725	mimejpg			rc://*/tw/dict/images/b/Beardedvulture
1:4	2805	mimejpg			rc://*/tw/dict/images/w/Wingspread Eagle
1:4	2864	mimejpg			rc://*/tw/dict/images/o/Orion Nebula Stars
1:4	3069	mimejpg			rc://*/tw/dict/images/v/Vulture
1:4	3070	mimejpg			rc://*/tw/dict/images/l/Lappet-Faced Vulture
1:7	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
1:7	3024	mimejpg			rc://*/tw/dict/images/t/Tablet Peace Treaty
1:11	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
1:11	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
1:11	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
1:11	3021	mimejpg			rc://*/tw/dict/images/j/Jehu Obelisk
1:11	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
1:11	3207	mimejpg			rc://*/tw/dict/images/p/Pottery Shard Lots
1:13	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
1:13	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
1:18	2813	mimejpg			rc://*/tw/dict/images/f/Fire
1:18	3015	mimejpg			rc://*/tw/dict/images/f/Flame
1:21	2763	mimejpg			rc://*/tw/dict/images/t/Tel Arad Judgment Seat
