Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:9	2843	mimejpg			rc://*/tw/dict/images/w/White Pearl Necklace
1:9	3227	mimejpg			rc://*/tw/dict/images/g/Garland
1:9	3242	mimejpg			rc://*/tw/dict/images/n/Necklace
1:13	3029	mimejpg			rc://*/tw/dict/images/l/Lachish Relief
1:14	3207	mimejpg			rc://*/tw/dict/images/p/Pottery Shard Lots
1:17	2571	mimejpg			rc://*/tw/dict/images/d/Drag Net
1:17	2573	mimejpg			rc://*/tw/dict/images/h/Hunting Net
1:19	3029	mimejpg			rc://*/tw/dict/images/l/Lachish Relief
1:21	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
1:21	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
1:27	2954	mimejpg			rc://*/tw/dict/images/w/Whirlwind
2:7	3173	mimejpg			rc://*/tw/dict/images/r/Round Shield
2:17	3024	mimejpg			rc://*/tw/dict/images/t/Tablet Peace Treaty
3:3	2693	mimejpg			rc://*/tw/dict/images/s/Scroll Reed Pen
3:3	3160	mimejpg			rc://*/tw/dict/images/t/Tablet
3:10	3183	mimejpg			rc://*/tw/dict/images/g/Grain Store
3:19	2806	mimejpg			rc://*/tw/dict/images/t/The Earth
3:20	2965	mimejpg			rc://*/tw/dict/images/d/Dew
3:20	3251	mimejpg			rc://*/tw/dict/images/h/Hebrew Universe
3:32	2628	mimejpg			rc://*/tw/dict/images/a/Asherah En
4:9	2686	mimejpg			rc://*/tw/dict/images/c/Crown
4:9	3227	mimejpg			rc://*/tw/dict/images/g/Garland
4:17	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
5:3	2703	mimejpg			rc://*/tw/dict/images/o/Olive Oil
5:4	2559	mimejpg			rc://*/tw/dict/images/w/Wormwood Flowers
5:4	2560	mimejpg			rc://*/tw/dict/images/w/White Wormwood
5:4	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
5:4	3135	mimejpg			rc://*/tw/dict/images/w/Wormwood
5:4	3171	mimejpg			rc://*/tw/dict/images/c/Curved Sword
5:11	2759	mimejpg			rc://*/tw/dict/images/m/Meat Market
5:15	2607	mimejpg			rc://*/tw/dict/images/c/Cistern
5:15	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
5:15	3022	mimejpg			rc://*/tw/dict/images/p/Pit
5:16	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
5:19	2350	mimejpg			rc://*/tw/dict/images/f/Fallow Deer
5:19	2359	mimejpg			rc://*/tw/dict/images/i/Ibex
5:19	2573	mimejpg			rc://*/tw/dict/images/h/Hunting Net
5:19	2820	mimejpg			rc://*/tw/dict/images/n/Nubian Ibex
6:5	2355	mimejpg			rc://*/tw/dict/images/g/Gazelle
6:5	2356	mimejpg			rc://*/tw/dict/images/i/Impala
6:5	2705	mimejpg			rc://*/tw/dict/images/b/Birds Nest
6:5	3051	mimejpg			rc://*/tw/dict/images/g/Gazelle
6:6	2420	mimejpg			rc://*/tw/dict/images/a/Ants
6:8	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
6:8	2760	mimejpg			rc://*/tw/dict/images/t/Tamarind Seedling
6:8	2871	mimejpg			rc://*/tw/dict/images/v/Vegetable Market
6:11	3173	mimejpg			rc://*/tw/dict/images/r/Round Shield
6:16	2628	mimejpg			rc://*/tw/dict/images/a/Asherah En
6:26	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
6:27	2813	mimejpg			rc://*/tw/dict/images/f/Fire
6:28	2951	mimejpg			rc://*/tw/dict/images/b/Burning Coal
7:3	2693	mimejpg			rc://*/tw/dict/images/s/Scroll Reed Pen
7:3	3160	mimejpg			rc://*/tw/dict/images/t/Tablet
7:16	2809	mimejpg			rc://*/tw/dict/images/g/Gizah Pyramids
7:16	2923	mimejpg			rc://*/tw/dict/images/e/Egypt Goshen
7:16	3026	mimejpg			rc://*/tw/dict/images/e/Egyptian Temple Karnak
7:16	3258	mimejpg			rc://*/tw/dict/images/a/Ancient Egypt En
7:17	2510	mimejpg			rc://*/tw/dict/images/a/Agarwood
7:17	2511	mimejpg			rc://*/tw/dict/images/a/Agarwoodlog
7:17	2514	mimejpg			rc://*/tw/dict/images/c/Cinnamonleaf
7:17	2515	mimejpg			rc://*/tw/dict/images/c/Cinnamontree
7:17	2516	mimejpg			rc://*/tw/dict/images/c/Cinnamonbark
7:17	2523	mimejpg			rc://*/tw/dict/images/m/Myrrh Branch
7:17	2524	mimejpg			rc://*/tw/dict/images/m/Myrrh Gum
7:17	2525	mimejpg			rc://*/tw/dict/images/m/Myrrh Leaf
7:17	2527	mimejpg			rc://*/tw/dict/images/a/Aloe Vera
7:17	2790	mimejpg			rc://*/tw/dict/images/c/Cinnamomum Verum Spices
7:22	2349	mimejpg			rc://*/tw/dict/images/c/Cows
7:23	2594	mimejpg			rc://*/tw/dict/images/c/Chariot
7:23	2705	mimejpg			rc://*/tw/dict/images/b/Birds Nest
8:3	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
8:3	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
8:7	2628	mimejpg			rc://*/tw/dict/images/a/Asherah En
8:16	2763	mimejpg			rc://*/tw/dict/images/t/Tel Arad Judgment Seat
8:23	2806	mimejpg			rc://*/tw/dict/images/t/The Earth
8:24	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
8:24	3251	mimejpg			rc://*/tw/dict/images/h/Hebrew Universe
8:27	3251	mimejpg			rc://*/tw/dict/images/h/Hebrew Universe
8:28	3251	mimejpg			rc://*/tw/dict/images/h/Hebrew Universe
8:29	2806	mimejpg			rc://*/tw/dict/images/t/The Earth
8:29	2856	mimejpg			rc://*/tw/dict/images/s/Sea
8:29	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
8:31	2806	mimejpg			rc://*/tw/dict/images/t/The Earth
9:2	3210	mimejpg			rc://*/tw/dict/images/m/Meal
9:5	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
9:14	2631	mimejpg			rc://*/tw/dict/images/c/Chair
9:14	2685	mimejpg			rc://*/tw/dict/images/a/Ashurnasirpal Ii Throne
9:14	2802	mimejpg			rc://*/tw/dict/images/d/Darius
9:14	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
9:14	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
9:14	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
9:14	3212	mimejpg			rc://*/tw/dict/images/c/Chair
9:14	3213	mimejpg			rc://*/tw/dict/images/c/Chair
9:17	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
9:17	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
10:21	2858	mimejpg			rc://*/tw/dict/images/g/Good Shepherd
10:21	3062	mimejpg			rc://*/tw/dict/images/s/Shepherd
10:25	2954	mimejpg			rc://*/tw/dict/images/w/Whirlwind
10:26	2860	mimejpg			rc://*/tw/dict/images/s/Smoke From Fire Line
11:1	2628	mimejpg			rc://*/tw/dict/images/a/Asherah En
11:1	3157	mimejpg			rc://*/tw/dict/images/b/Balance Scales
11:1	3158	mimejpg			rc://*/tw/dict/images/w/Weights
11:1	3243	mimejpg			rc://*/tw/dict/images/p/Pim
11:20	2628	mimejpg			rc://*/tw/dict/images/a/Asherah En
11:22	2360	mimejpg			rc://*/tw/dict/images/f/Fox
11:22	2362	mimejpg			rc://*/tw/dict/images/j/Jackal
11:22	2844	mimejpg			rc://*/tw/dict/images/b/Black Pigs
11:22	3061	mimejpg			rc://*/tw/dict/images/p/Pigs
11:22	3241	mimejpg			rc://*/tw/dict/images/e/Earrings Gold
11:29	2879	mimejpg			rc://*/tw/dict/images/g/Gale Force Winds
12:3	2850	mimejpg			rc://*/tw/dict/images/r/Root Tree
12:3	2941	mimejpg			rc://*/tw/dict/images/r/Root Swelling
12:4	2686	mimejpg			rc://*/tw/dict/images/c/Crown
12:9	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
12:10	2349	mimejpg			rc://*/tw/dict/images/c/Cows
12:11	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
12:11	2751	mimejpg			rc://*/tw/dict/images/h/Hoe
12:11	2862	mimejpg			rc://*/tw/dict/images/s/Soil Antigo
12:12	2834	mimejpg			rc://*/tw/dict/images/m/Masada
12:12	2850	mimejpg			rc://*/tw/dict/images/r/Root Tree
12:12	2941	mimejpg			rc://*/tw/dict/images/r/Root Swelling
12:18	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
12:18	3171	mimejpg			rc://*/tw/dict/images/c/Curved Sword
12:22	2628	mimejpg			rc://*/tw/dict/images/a/Asherah En
13:19	2628	mimejpg			rc://*/tw/dict/images/a/Asherah En
14:4	2349	mimejpg			rc://*/tw/dict/images/c/Cows
