Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	2631	mimejpg			rc://*/tw/dict/images/c/Chair
1:1	2685	mimejpg			rc://*/tw/dict/images/a/Ashurnasirpal Ii Throne
1:1	3212	mimejpg			rc://*/tw/dict/images/c/Chair
1:1	3213	mimejpg			rc://*/tw/dict/images/c/Chair
1:3	2874	mimejpg			rc://*/tw/dict/images/d/Drop Of Water
1:3	3260	mimejpg			rc://*/tw/dict/images/d/Datepalm
1:4	2569	mimejpg			rc://*/tw/dict/images/s/Sieve
1:4	2879	mimejpg			rc://*/tw/dict/images/g/Gale Force Winds
1:5	2763	mimejpg			rc://*/tw/dict/images/t/Tel Arad Judgment Seat
2:3	2589	mimejpg			rc://*/tw/dict/images/r/Rope
2:7	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
2:7	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
2:7	2939	mimejpg			rc://*/tw/dict/images/b/Birth
2:9	2581	mimejpg			rc://*/tw/dict/images/k/Kiln
2:10	2763	mimejpg			rc://*/tw/dict/images/t/Tel Arad Judgment Seat
3:4	3173	mimejpg			rc://*/tw/dict/images/r/Round Shield
4:1	3232	mimejpg			rc://*/tw/dict/images/l/Lyre
5:1	2638	mimejpg			rc://*/tw/dict/images/f/Flute Bamboo
5:1	3233	mimejpg			rc://*/tw/dict/images/f/Flute
5:8	2846	mimejpg			rc://*/tw/dict/images/p/Prostrate Figures
5:11	2867	mimejpg			rc://*/tw/dict/images/t/Torah Scroll
5:11	3019	mimejpg			rc://*/tw/dict/images/e/Exile Capture Lachish
5:11	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
6:1	3232	mimejpg			rc://*/tw/dict/images/l/Lyre
7:3	2365	mimejpg			rc://*/tw/dict/images/l/Lions
7:3	2366	mimejpg			rc://*/tw/dict/images/l/Lioness Cub
7:3	2367	mimejpg			rc://*/tw/dict/images/l/Lion
7:7	2763	mimejpg			rc://*/tw/dict/images/t/Tel Arad Judgment Seat
7:9	2763	mimejpg			rc://*/tw/dict/images/t/Tel Arad Judgment Seat
7:11	3173	mimejpg			rc://*/tw/dict/images/r/Round Shield
7:12	2763	mimejpg			rc://*/tw/dict/images/t/Tel Arad Judgment Seat
7:13	2594	mimejpg			rc://*/tw/dict/images/c/Chariot
7:13	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
7:13	3171	mimejpg			rc://*/tw/dict/images/c/Curved Sword
7:14	2594	mimejpg			rc://*/tw/dict/images/c/Chariot
7:15	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
7:15	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
7:15	2939	mimejpg			rc://*/tw/dict/images/b/Birth
7:16	2607	mimejpg			rc://*/tw/dict/images/c/Cistern
