Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:4	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
1:4	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
1:4	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
1:10	2637	mimejpg			rc://*/tw/dict/images/h/Horn Ram
1:10	3166	mimejpg			rc://*/tw/dict/images/h/Horn Ram
1:14	2813	mimejpg			rc://*/tw/dict/images/f/Fire
1:14	2861	mimejpg			rc://*/tw/dict/images/s/Snow
1:15	2581	mimejpg			rc://*/tw/dict/images/k/Kiln
1:15	3167	mimejpg			rc://*/tw/dict/images/k/Kiln
1:16	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
1:16	2864	mimejpg			rc://*/tw/dict/images/o/Orion Nebula Stars
1:16	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
1:16	3171	mimejpg			rc://*/tw/dict/images/c/Curved Sword
1:18	2601	mimejpg			rc://*/tw/dict/images/k/Keys
1:18	3176	mimejpg			rc://*/tw/dict/images/k/Key
1:20	2864	mimejpg			rc://*/tw/dict/images/o/Orion Nebula Stars
2:1	2864	mimejpg			rc://*/tw/dict/images/o/Orion Nebula Stars
2:10	3227	mimejpg			rc://*/tw/dict/images/g/Garland
2:12	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
2:12	3171	mimejpg			rc://*/tw/dict/images/c/Curved Sword
2:13	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
2:13	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
2:13	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
2:16	2694	mimejpg			rc://*/tw/dict/images/s/Straight Sword
2:16	3171	mimejpg			rc://*/tw/dict/images/c/Curved Sword
2:18	2813	mimejpg			rc://*/tw/dict/images/f/Fire
2:27	2574	mimejpg			rc://*/tw/dict/images/p/Potter Turning Wheel
2:28	2864	mimejpg			rc://*/tw/dict/images/o/Orion Nebula Stars
3:1	2864	mimejpg			rc://*/tw/dict/images/o/Orion Nebula Stars
3:7	2601	mimejpg			rc://*/tw/dict/images/k/Keys
3:7	3176	mimejpg			rc://*/tw/dict/images/k/Key
3:11	3227	mimejpg			rc://*/tw/dict/images/g/Garland
3:12	2606	mimejpg			rc://*/tw/dict/images/c/Column
3:12	2681	mimejpg			rc://*/tw/dict/images/c/Columns
3:18	2813	mimejpg			rc://*/tw/dict/images/f/Fire
3:21	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
3:21	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
3:21	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
4:1	2637	mimejpg			rc://*/tw/dict/images/h/Horn Ram
4:1	3166	mimejpg			rc://*/tw/dict/images/h/Horn Ram
4:2	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
4:2	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
4:2	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
4:3	2845	mimejpg			rc://*/tw/dict/images/p/Precious Stones
4:3	2946	mimejpg			rc://*/tw/dict/images/r/Rainbow
4:3	2947	mimejpg			rc://*/tw/dict/images/r/Rainbow
4:3	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
4:3	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
4:3	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
4:4	2686	mimejpg			rc://*/tw/dict/images/c/Crown
4:4	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
4:4	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
4:4	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
4:5	2630	mimejpg			rc://*/tw/dict/images/l/Lantern
4:5	2813	mimejpg			rc://*/tw/dict/images/f/Fire
4:5	2830	mimejpg			rc://*/tw/dict/images/l/Lightning
4:5	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
4:5	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
4:5	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
4:6	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
4:6	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
4:6	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
4:6	2991	mimejpg			rc://*/tw/dict/images/l/Living Creatures Lorvão
4:6	2992	mimejpg			rc://*/tw/dict/images/l/Living Creatures Manchester
4:6	2993	mimejpg			rc://*/tw/dict/images/l/Living Creatures Facundus
4:7	2365	mimejpg			rc://*/tw/dict/images/l/Lions
4:7	2366	mimejpg			rc://*/tw/dict/images/l/Lioness Cub
4:7	2367	mimejpg			rc://*/tw/dict/images/l/Lion
4:7	2381	mimejpg			rc://*/tw/dict/images/b/Buzzard
4:7	2387	mimejpg			rc://*/tw/dict/images/v/Vulture Takeoff
4:7	2388	mimejpg			rc://*/tw/dict/images/v/Vulture Flight
4:7	2712	mimejpg			rc://*/tw/dict/images/e/Egyptian Vulture
4:7	2713	mimejpg			rc://*/tw/dict/images/v/Vulture
4:7	2725	mimejpg			rc://*/tw/dict/images/b/Beardedvulture
4:7	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
4:8	2991	mimejpg			rc://*/tw/dict/images/l/Living Creatures Lorvão
4:8	2992	mimejpg			rc://*/tw/dict/images/l/Living Creatures Manchester
4:8	2993	mimejpg			rc://*/tw/dict/images/l/Living Creatures Facundus
4:9	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
4:9	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
4:9	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
4:9	2991	mimejpg			rc://*/tw/dict/images/l/Living Creatures Lorvão
4:9	2992	mimejpg			rc://*/tw/dict/images/l/Living Creatures Manchester
4:9	2993	mimejpg			rc://*/tw/dict/images/l/Living Creatures Facundus
4:10	2686	mimejpg			rc://*/tw/dict/images/c/Crown
4:10	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
4:10	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
4:10	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
5:1	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
5:1	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
5:1	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
5:1	3239	mimejpg			rc://*/tw/dict/images/s/Signet Ring
5:2	3239	mimejpg			rc://*/tw/dict/images/s/Signet Ring
5:5	2365	mimejpg			rc://*/tw/dict/images/l/Lions
5:5	2366	mimejpg			rc://*/tw/dict/images/l/Lioness Cub
5:5	2367	mimejpg			rc://*/tw/dict/images/l/Lion
5:5	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
5:5	3239	mimejpg			rc://*/tw/dict/images/s/Signet Ring
5:6	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
5:6	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
5:6	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
5:6	2991	mimejpg			rc://*/tw/dict/images/l/Living Creatures Lorvão
5:6	2992	mimejpg			rc://*/tw/dict/images/l/Living Creatures Manchester
5:6	2993	mimejpg			rc://*/tw/dict/images/l/Living Creatures Facundus
5:7	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
5:7	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
5:7	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
5:8	2624	mimejpg			rc://*/tw/dict/images/b/Basin
5:8	2625	mimejpg			rc://*/tw/dict/images/i/Incense Altar
5:8	2991	mimejpg			rc://*/tw/dict/images/l/Living Creatures Lorvão
5:8	2992	mimejpg			rc://*/tw/dict/images/l/Living Creatures Manchester
5:8	2993	mimejpg			rc://*/tw/dict/images/l/Living Creatures Facundus
5:8	3231	mimejpg			rc://*/tw/dict/images/s/Stringed Instruments
5:8	3232	mimejpg			rc://*/tw/dict/images/l/Lyre
5:9	3239	mimejpg			rc://*/tw/dict/images/s/Signet Ring
5:11	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
5:11	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
5:11	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
5:11	2991	mimejpg			rc://*/tw/dict/images/l/Living Creatures Lorvão
5:11	2992	mimejpg			rc://*/tw/dict/images/l/Living Creatures Manchester
5:11	2993	mimejpg			rc://*/tw/dict/images/l/Living Creatures Facundus
5:13	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
5:13	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
5:13	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
5:14	2991	mimejpg			rc://*/tw/dict/images/l/Living Creatures Lorvão
5:14	2992	mimejpg			rc://*/tw/dict/images/l/Living Creatures Manchester
5:14	2993	mimejpg			rc://*/tw/dict/images/l/Living Creatures Facundus
6:1	2991	mimejpg			rc://*/tw/dict/images/l/Living Creatures Lorvão
6:1	2992	mimejpg			rc://*/tw/dict/images/l/Living Creatures Manchester
6:1	2993	mimejpg			rc://*/tw/dict/images/l/Living Creatures Facundus
