Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	2763	mimejpg			rc://*/tw/dict/images/t/Tel Arad Judgment Seat
1:5	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
1:6	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
1:12	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
1:12	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
1:12	2939	mimejpg			rc://*/tw/dict/images/b/Birth
1:17	2872	mimejpg			rc://*/tw/dict/images/m/Making Of A Vow
1:17	2956	mimejpg			rc://*/tw/dict/images/r/Rock Cut Tomb
1:22	2478	mimejpg			rc://*/tw/dict/images/b/Barleyhead
1:22	2479	mimejpg			rc://*/tw/dict/images/b/Barley Seeds
1:22	2662	mimejpg			rc://*/tw/dict/images/s/Sheaves Of Barley
1:22	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
2:3	2478	mimejpg			rc://*/tw/dict/images/b/Barleyhead
2:3	2662	mimejpg			rc://*/tw/dict/images/s/Sheaves Of Barley
2:4	2478	mimejpg			rc://*/tw/dict/images/b/Barleyhead
2:4	2662	mimejpg			rc://*/tw/dict/images/s/Sheaves Of Barley
2:5	2478	mimejpg			rc://*/tw/dict/images/b/Barleyhead
2:5	2662	mimejpg			rc://*/tw/dict/images/s/Sheaves Of Barley
2:6	2478	mimejpg			rc://*/tw/dict/images/b/Barleyhead
2:6	2662	mimejpg			rc://*/tw/dict/images/s/Sheaves Of Barley
2:7	2478	mimejpg			rc://*/tw/dict/images/b/Barleyhead
2:7	2662	mimejpg			rc://*/tw/dict/images/s/Sheaves Of Barley
2:9	2478	mimejpg			rc://*/tw/dict/images/b/Barleyhead
2:9	2662	mimejpg			rc://*/tw/dict/images/s/Sheaves Of Barley
2:10	2846	mimejpg			rc://*/tw/dict/images/p/Prostrate Figures
2:14	2478	mimejpg			rc://*/tw/dict/images/b/Barleyhead
2:14	2662	mimejpg			rc://*/tw/dict/images/s/Sheaves Of Barley
2:14	2704	mimejpg			rc://*/tw/dict/images/b/Bread Tandir
2:15	2478	mimejpg			rc://*/tw/dict/images/b/Barleyhead
2:15	2662	mimejpg			rc://*/tw/dict/images/s/Sheaves Of Barley
2:17	2478	mimejpg			rc://*/tw/dict/images/b/Barleyhead
2:17	2479	mimejpg			rc://*/tw/dict/images/b/Barley Seeds
2:17	2567	mimejpg			rc://*/tw/dict/images/t/Threshing Floor
2:17	2660	mimejpg			rc://*/tw/dict/images/t/Threshing Floor
2:17	2661	mimejpg			rc://*/tw/dict/images/t/Threshing Sledge
2:17	2662	mimejpg			rc://*/tw/dict/images/s/Sheaves Of Barley
2:17	2750	mimejpg			rc://*/tw/dict/images/t/Threshing Board
2:17	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
2:23	2478	mimejpg			rc://*/tw/dict/images/b/Barleyhead
2:23	2479	mimejpg			rc://*/tw/dict/images/b/Barley Seeds
2:23	2483	mimejpg			rc://*/tw/dict/images/w/Wheatfield
2:23	2657	mimejpg			rc://*/tw/dict/images/c/Cornfield
2:23	2662	mimejpg			rc://*/tw/dict/images/s/Sheaves Of Barley
2:23	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
2:23	3112	mimejpg			rc://*/tw/dict/images/w/Wheat Head
3:2	2478	mimejpg			rc://*/tw/dict/images/b/Barleyhead
3:2	2479	mimejpg			rc://*/tw/dict/images/b/Barley Seeds
3:2	2567	mimejpg			rc://*/tw/dict/images/t/Threshing Floor
3:2	2568	mimejpg			rc://*/tw/dict/images/w/Winnowing Shovel
3:2	2662	mimejpg			rc://*/tw/dict/images/s/Sheaves Of Barley
3:2	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
3:3	2567	mimejpg			rc://*/tw/dict/images/t/Threshing Floor
3:6	2567	mimejpg			rc://*/tw/dict/images/t/Threshing Floor
3:11	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
3:11	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
3:14	2567	mimejpg			rc://*/tw/dict/images/t/Threshing Floor
3:15	2478	mimejpg			rc://*/tw/dict/images/b/Barleyhead
3:15	2479	mimejpg			rc://*/tw/dict/images/b/Barley Seeds
3:15	2662	mimejpg			rc://*/tw/dict/images/s/Sheaves Of Barley
3:15	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
3:17	2478	mimejpg			rc://*/tw/dict/images/b/Barleyhead
3:17	2479	mimejpg			rc://*/tw/dict/images/b/Barley Seeds
3:17	2662	mimejpg			rc://*/tw/dict/images/s/Sheaves Of Barley
3:17	2816	mimejpg			rc://*/tw/dict/images/b/Barley Grain
4:1	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
4:1	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
4:7	3229	mimejpg			rc://*/tw/dict/images/s/Sandals
4:8	3229	mimejpg			rc://*/tw/dict/images/s/Sandals
4:10	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
4:10	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
4:11	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
4:11	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
4:11	2933	mimejpg			rc://*/tw/dict/images/t/Tomb Of Rachel
4:11	2948	mimejpg			rc://*/tw/dict/images/t/Tomb Of Rachel
4:12	2766	mimejpg			rc://*/tw/dict/images/c/Children Of Kabul
4:12	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
