Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:3	2703	mimejpg			rc://*/tw/dict/images/o/Olive Oil
1:5	3179	mimejpg			rc://*/tw/dict/images/t/Tent
1:6	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
1:6	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
1:6	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
1:7	2858	mimejpg			rc://*/tw/dict/images/g/Good Shepherd
1:7	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
1:7	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
1:7	3062	mimejpg			rc://*/tw/dict/images/s/Shepherd
1:8	2720	mimejpg			rc://*/tw/dict/images/g/Goat Kid
1:8	2721	mimejpg			rc://*/tw/dict/images/g/Goat Family
1:8	2858	mimejpg			rc://*/tw/dict/images/g/Good Shepherd
1:8	3053	mimejpg			rc://*/tw/dict/images/g/Goats Herd
1:8	3062	mimejpg			rc://*/tw/dict/images/s/Shepherd
1:8	3179	mimejpg			rc://*/tw/dict/images/t/Tent
1:9	2357	mimejpg			rc://*/tw/dict/images/h/Horse
1:9	2594	mimejpg			rc://*/tw/dict/images/c/Chariot
1:10	3240	mimejpg			rc://*/tw/dict/images/a/Assorted Jewelry
1:10	3242	mimejpg			rc://*/tw/dict/images/n/Necklace
1:11	3240	mimejpg			rc://*/tw/dict/images/a/Assorted Jewelry
1:12	2526	mimejpg			rc://*/tw/dict/images/s/Spikenard Plant
1:12	2709	mimejpg			rc://*/tw/dict/images/f/Flacon Nards Perfume
1:13	2523	mimejpg			rc://*/tw/dict/images/m/Myrrh Branch
1:13	2524	mimejpg			rc://*/tw/dict/images/m/Myrrh Gum
1:13	2525	mimejpg			rc://*/tw/dict/images/m/Myrrh Leaf
1:14	2521	mimejpg			rc://*/tw/dict/images/h/Henna
1:14	2522	mimejpg			rc://*/tw/dict/images/h/Henna Shrub
1:15	2385	mimejpg			rc://*/tw/dict/images/d/Dove
1:15	2386	mimejpg			rc://*/tw/dict/images/p/Pigeon
1:15	2934	mimejpg			rc://*/tw/dict/images/r/Rock Pigeons
1:15	2935	mimejpg			rc://*/tw/dict/images/c/Columba Livia
1:16	2447	mimejpg			rc://*/tw/dict/images/p/Pine Stone
1:17	2436	mimejpg			rc://*/tw/dict/images/c/Cedar
