Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	2802	mimejpg			rc://*/tw/dict/images/d/Darius
1:7	2802	mimejpg			rc://*/tw/dict/images/d/Darius
1:8	2357	mimejpg			rc://*/tw/dict/images/h/Horse
1:8	2445	mimejpg			rc://*/tw/dict/images/m/Myrtle
1:8	3098	mimejpg			rc://*/tw/dict/images/m/Myrtle Branch
1:10	2445	mimejpg			rc://*/tw/dict/images/m/Myrtle
1:10	3098	mimejpg			rc://*/tw/dict/images/m/Myrtle Branch
1:11	2445	mimejpg			rc://*/tw/dict/images/m/Myrtle
1:11	3098	mimejpg			rc://*/tw/dict/images/m/Myrtle Branch
1:16	3164	mimejpg			rc://*/tw/dict/images/m/Measuring Line
2:1	2637	mimejpg			rc://*/tw/dict/images/h/Horn Ram
2:1	2977	mimejpg			rc://*/tw/dict/images/h/Horned Ram
2:2	2637	mimejpg			rc://*/tw/dict/images/h/Horn Ram
2:2	2977	mimejpg			rc://*/tw/dict/images/h/Horned Ram
2:3	2582	mimejpg			rc://*/tw/dict/images/a/Anvil Blacksmith
2:3	2583	mimejpg			rc://*/tw/dict/images/h/Hammer
2:4	2637	mimejpg			rc://*/tw/dict/images/h/Horn Ram
2:4	2977	mimejpg			rc://*/tw/dict/images/h/Horned Ram
2:5	2589	mimejpg			rc://*/tw/dict/images/r/Rope
2:5	3164	mimejpg			rc://*/tw/dict/images/m/Measuring Line
2:8	2349	mimejpg			rc://*/tw/dict/images/c/Cows
2:9	2813	mimejpg			rc://*/tw/dict/images/f/Fire
2:11	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
2:11	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
2:12	3029	mimejpg			rc://*/tw/dict/images/l/Lachish Relief
2:13	3029	mimejpg			rc://*/tw/dict/images/l/Lachish Relief
3:2	2813	mimejpg			rc://*/tw/dict/images/f/Fire
3:7	3188	mimejpg			rc://*/tw/dict/images/c/Courtyard En
3:9	2845	mimejpg			rc://*/tw/dict/images/p/Precious Stones
3:9	3153	mimejpg			rc://*/tw/dict/images/e/Engraving Ring
3:10	2466	mimejpg			rc://*/tw/dict/images/f/Fig Unripe
3:10	2467	mimejpg			rc://*/tw/dict/images/f/Fig Fresh
4:2	2679	mimejpg			rc://*/tw/dict/images/s/Standards En
4:3	3105	mimejpg			rc://*/tw/dict/images/o/Old Olive Tree
4:3	3259	mimejpg			rc://*/tw/dict/images/o/Olive Tree
4:11	2679	mimejpg			rc://*/tw/dict/images/s/Standards En
4:11	3105	mimejpg			rc://*/tw/dict/images/o/Old Olive Tree
4:11	3259	mimejpg			rc://*/tw/dict/images/o/Olive Tree
4:12	3105	mimejpg			rc://*/tw/dict/images/o/Old Olive Tree
4:12	3259	mimejpg			rc://*/tw/dict/images/o/Olive Tree
5:1	2867	mimejpg			rc://*/tw/dict/images/t/Torah Scroll
5:2	2835	mimejpg			rc://*/tw/dict/images/c/Cubit
5:2	2867	mimejpg			rc://*/tw/dict/images/t/Torah Scroll
5:3	2872	mimejpg			rc://*/tw/dict/images/m/Making Of A Vow
5:6	2669	mimejpg			rc://*/tw/dict/images/b/Basket
5:7	2669	mimejpg			rc://*/tw/dict/images/b/Basket
5:8	2669	mimejpg			rc://*/tw/dict/images/b/Basket
5:9	2407	mimejpg			rc://*/tw/dict/images/w/White Storks
5:9	2669	mimejpg			rc://*/tw/dict/images/b/Basket
5:9	2730	mimejpg			rc://*/tw/dict/images/b/Black Stork
5:9	2731	mimejpg			rc://*/tw/dict/images/b/Black Stork
5:9	2879	mimejpg			rc://*/tw/dict/images/g/Gale Force Winds
5:9	3079	mimejpg			rc://*/tw/dict/images/w/White Storks
5:9	3080	mimejpg			rc://*/tw/dict/images/b/Black Stork
5:10	2669	mimejpg			rc://*/tw/dict/images/b/Basket
5:11	2711	mimejpg			rc://*/tw/dict/images/l/Laver Stand Cypriot
6:1	2594	mimejpg			rc://*/tw/dict/images/c/Chariot
6:1	3174	mimejpg			rc://*/tw/dict/images/c/Chariot
6:2	2357	mimejpg			rc://*/tw/dict/images/h/Horse
6:2	2594	mimejpg			rc://*/tw/dict/images/c/Chariot
6:2	3174	mimejpg			rc://*/tw/dict/images/c/Chariot
6:3	2357	mimejpg			rc://*/tw/dict/images/h/Horse
6:3	2594	mimejpg			rc://*/tw/dict/images/c/Chariot
6:3	3174	mimejpg			rc://*/tw/dict/images/c/Chariot
6:5	2879	mimejpg			rc://*/tw/dict/images/g/Gale Force Winds
6:6	2357	mimejpg			rc://*/tw/dict/images/h/Horse
6:10	2773	mimejpg			rc://*/tw/dict/images/b/Babylon Lion
6:10	2928	mimejpg			rc://*/tw/dict/images/i/Ishtar Gate
6:10	3028	mimejpg			rc://*/tw/dict/images/l/Lachish Relief Exile
6:11	2686	mimejpg			rc://*/tw/dict/images/c/Crown
6:13	2802	mimejpg			rc://*/tw/dict/images/d/Darius
6:13	2987	mimejpg			rc://*/tw/dict/images/t/Throne Roman
6:13	2988	mimejpg			rc://*/tw/dict/images/t/Throne Toutankamon
6:13	2989	mimejpg			rc://*/tw/dict/images/t/Throne Greek
6:14	2686	mimejpg			rc://*/tw/dict/images/c/Crown
7:1	2802	mimejpg			rc://*/tw/dict/images/d/Darius
7:9	2763	mimejpg			rc://*/tw/dict/images/t/Tel Arad Judgment Seat
7:12	2845	mimejpg			rc://*/tw/dict/images/p/Precious Stones
8:5	2783	mimejpg			rc://*/tw/dict/images/b/Baby Boy
8:7	2865	mimejpg			rc://*/tw/dict/images/d/Dawn
8:7	2866	mimejpg			rc://*/tw/dict/images/s/Sunset India
8:7	2950	mimejpg			rc://*/tw/dict/images/s/Sun At Noon
8:10	2349	mimejpg			rc://*/tw/dict/images/c/Cows
8:12	2965	mimejpg			rc://*/tw/dict/images/d/Dew
8:16	2665	mimejpg			rc://*/tw/dict/images/c/City Gate En
8:16	2680	mimejpg			rc://*/tw/dict/images/c/City Gate
8:16	2763	mimejpg			rc://*/tw/dict/images/t/Tel Arad Judgment Seat
9:3	2674	mimejpg			rc://*/tw/dict/images/s/Siegeworks En
9:3	2677	mimejpg			rc://*/tw/dict/images/s/Siege Works En
9:3	2678	mimejpg			rc://*/tw/dict/images/s/Siege Tower
